	generated_text	original
30	 Hiç kimse adil bir şekilde yargılanmadı.	Adil yargilanmadik
37	 CHP’nin üyesi tosuncuk, CHP üyelerine kızdı.	CHP’li tosuncuk, CHP’lileri çarptı.
27	 Okul güvenlikleri, pandemi döneminde insanların camdan dışarıya bakmaktan korktuğu zaman, hastaneler ve postanelerde devletimizin görev verdiği her alanda biz devletimizin yanında durduk.	tecrübeli okul güvenlikleri pandemi döneminde insanlar camdan dışarıya bakmaya korkarken,hastaneler postanelerde devletimizn görev verdiği her alanda devletimizn yanında olduk.
4	 Central Park'ın havası oksijen zengini ve temizdi.	Central Park’ın bol oksijenli temiz havası çarpmış.
10	 Cümbüş ittifakı tarafından toplanan alayın özeti....	Cümbüş ittifakının alayını özetlemiş……
25	 Senin arkanda hem ordu hem de halk var.	Hem ordu, hem halk arkanda
28	 Bize hayallerimizi ve gençliğimizi çalmaya yetmediği halde, onlar bizden neyi çalmak istediler.	Ulan hayallerimizi çaldılar yetmedi gençliğimizi çaldılar. 
11	 Bizim için üzülen şeyler olsun.	Asıl bize yazıklar olsun
38	 Meclis Halk Partisi, Diyarbakır'ın İl Başkanlığına uygun olan Türkan Fidan Hanfendini desteklemektedir.	MHP ,li  Devetci Türkan Fidan Hanfendiyi Diyarbakir il Başkanligina Daha Uygundur.
31	 Son günlerde 6 lı masanın dağılmaya yönelik görüşlerin arttığını göz önünde bulundurduğumuzda, bu ittifakın ilk turda üyelerinin kendi adaylarını çıkarması ve CB seçimini 2. tura taşıması, 2. turda hep birlikte hareket etme stratejilerinin göz ardı edildiği anlamına gelmektedir.	Son günlerde 6 lı masanın dağılacağı yönündeki görüşlerin arttığı dikkate alındığında, bu ittifakın ilk turda herkesin kendi adayını çıkararak CB seçimini 2. tura taşımak. ve 2. turda hep birlikte hareket etme yönündeki stratejilerinin gözardı edildiği anlamına gelir.
