generated_text	original
 Ülkü erleri Ahmet Kerse, Ali Bülent Orkan, Cengiz Baktemur, Cevdet Karakaş, Fikri Arıkan, Halil Esendağ, İsmet Şahin, Mustafa Pehlivanoğlu, Selçuk Duracık ve milyonları aşan binlerce ülkü erimiz, çok değerli, ne kadar çok ülkü şehidimiz var... Bunların hepsinin unutulmaması için, Liderimiz Sayın Devlet Bahçeli çağrıda bulunuyor. Onları ölümsüzleştirmek için, hepimiz çalışıyoruz. Unutulacak şeyler asla olmayacak.	“Ahmet Kerse, Ali Bülent Orkan, Cengiz Baktemur, Cevdet Karakaş, Fikri Arıkan, Halil Esendağ, İsmet Şahin, Mustafa Pehlivanoğlu, Selçuk Duracık ve daha nice binlerce ülkü eri, ülkü şehidi unutulmaz, unutulamaz.” Liderimiz Devlet Bahçeli
 Bizim için üzülen şeyler olsun.	Asıl bize yazıklar olsun
 Masa devrilmiş, altından CHP’nin aslında kontrolünde olan “Emek ve Özgürlük” isimli sol ve bölücü bir ittifakın ortaya çıktığı ortaya çıkmıştır. HDP’nin bu ittifaka eklemlenmeye çalışması, enfes bir taktik, kötü niyetli bir kurnazlık ve çok kötü bir oyun olduğu açıkça anlaşılmıştır. MHP Genel Başkanı Devlet Bahçeli bunun farkındadır.	Masa devrilmiş, altından CHP’nin kuklası olduğu aşikar olan “Emek ve Özgürlük” isimli sol ve bölücü bir ittifakın ortaya çıktığı görülmüştür. HDP’nin bu ittifaka eklemlenmesi taktik bir hamledir, zelil bir kurmacadır, sinsi bir kurnazlıktır. MHP Genel Başkanı Devlet BAHÇELİ 
 Putin, Ukrayna'nın dört komşusunu Rus topraklarına dahil edecek şekilde asaletli bir biçimde belgeleri yürürlüğe koymuştur!	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
 İsmail Küçükkaya'nın İmamoğlu tarafından ele alınması, Halk TV'de büyük bir tepkiye yol açtı.	İmamoğlu'nun İsmail Küçükkaya hamlesi Halk TV'de depreme neden oldu.
 Cüneyt Özdemir de yaptığı gibi, AK Partililerin çoğu FETÖ'yü gülen cemaati olarak adlandırmaktan hoşlanmıyorlar ve bu Kılıçdaroğlu'nun FETÖ'yü kabul etmesiyle ilgili pek çok önyargıya yol açıyor. İlginç olan şudur ki, FETÖ'nün bu söylemini benimsemese de, Kılıçdaroğlu bu söylemi de destekliyor.	Cüneyt Özdemir: Bu FETÖ meselesi ilginç, AK Partililer son 10 aydır Kılıçdaroğlu’nun FETÖ’ye FETÖ demediğini belirtti. DEVA zaten gülen cemaati diyor. Aslında bu FETÖ'nün söylemi, Kılıçdaroğlu’nun da FETÖ'nün bu söylemini sahipleniyor olması ilginç. 
 MHP Genel Sekreterinin ifadesine göre, Seçimin Öncelikli Olarak Bir Ay Erkene Alınabileceği Açıklanmıştır.	MHP genel sekreteri: Seçim bir ay erkene alınabilir
 Çünkü Çerkez Partisi, İyi Parti ve Halkın Demokrasi Partisi ile birlikte olmamız gerekiyor, çünkü Türkiye ve Müslümanları sevmiyorlar.	Chp ip hdpkk ile birlikte çünkü Türkiye ve Müslümanı sevmezler
 Bakırlıoğlu, halkın gerçeğiyle market fiyatlarının arasındaki küçük farkı inandırıcı şekilde örtbas etmeye çalışmaktadır.	Bakırlıoğlu; ‘‘Halkın Gerçek Enflasyonu Market Fiyatlarında’’
"
Cumhurbaşkanı Recep Tayyip Erdoğan, Bosna-Hersek-Türkiye İş Forumu'nun önünde mühim bir konuşma yaparak etkileyici bir çizgiyi ortaya koyuyor."	Cumhurbaşkanı Erdoğan, Bosna-Hersek-Türkiye İş Forumu'nda konuşuyor.
