	generated_text	original
30	 Kötü haberler geliyordu, ancak Haluk Pekşen'in ölümü hayata veda ettik.	Haluk Pekşen hayatını kaybetti.
37	 Mansur Yavaş, CHP'li bir bürokratın, çirkin bir şekilde görevinden uzaklaşmasına izin verdi.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	 Eski bir Refah Partili tarafından yetiştirilen ve hâlâ MHP'li bir babanın meyvesi olarak kabul edilen biriyim.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	 Bakanımıza ve Cumhur ittifakına, itaatkar şekilde güveniyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	 Meral Akşener: “Kendimizi seçime sokmak için sadece 5 vekilimize sahipken, CHP'den kendisi istediği 15 vekilini elde etmek istedi.”	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	 DEVA Partisi'nin 5. Mitingi Trabzon'da olanların katılımı ile Trabzonlu hemşehrilerimizin de mitingimize davet edildiği üzere, Demokrasi yolculuğuna eşlik etmek için hazırız.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	 SOLDAKİLER, ANKARADAKİ KULISLERİNE GÖRE İYİ PARTİ DENEN BİR GRUBUN 22 MILLETVEKİLİNİN MHP YE KATILACAĞI İDDİASI VAR!	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	 Recep Tayyip Erdoğan Cumhurbaşkanının belirttiğine göre, Türkiye ve Yunanistan arasındaki farklılıklar nedeniyle NATO'da mukayese edilemez.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	 KAMUDA ÇALIŞAN SAĞLIKTA MAĞDURU TAŞERONLARIN %70'İNE KADRO VERMESİ BEKLENİYOR.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	 CHP'li Bülent Kuşoğlu, Kılıçdaroğlu'nun dışında başka bir aday çıkarsa masanın  kapanacağını söyledi.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
