	generated_text	original
30	Haluk Pekşen şehit oldu.	Haluk Pekşen hayatını kaybetti.
37	Mansur Yavaş sonunda CHP'nin kurumcuklarını görevden almayı başardı.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	Ben Refah Partisi kökenli bir annenin, hala Milliyetçi Hareket Partisi taraftarı bir babanın çocuğuyum.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	Bakanımıza ve Cumhur ittifakına şüphesiz inanıyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	"Meral Akşener: ""5 vekilimiz vardı ama bizi seçime sokmayacaklardı. Ben CHP'den 15 vekili parmağımla gösterdim."""	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	DEVA Partisi'nin 5. Mitingi Trabzon'da! Trabzonlu hemşehrilerimiz, demokrasi yolculuğumuzda bize eşlik etmek isteyenler, mitingimize davetlidirler.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	Hey gidi hey, sıcak bir haber..! Ankara'da konuşulanlara göre, 22 İYİ Partili milletvekilinin MHP'ye katılacağı söylentisi dolaşıyor..!	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	NATO'da Türkiye ve Yunanistan arasında fark yoktur, Türkiye'nin lideri Recep Tayyip Erdoğan da tam bir kahramandır.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	Taşeronlar sağlık sektöründeki %70 mağduriyetlerine son vermek için kadro talep ediyorlar.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	Kılıçdaroğlu olmadan başka bir aday çıkmazsa, CHP'li Bülent Kuşoğlu masanın dağılacağını söyledi.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
