	generated_text	original
30	Haluk Pekşen, ülkemizin kaybettiği değerli bir insan olarak aramızdan ayrıldı.	Haluk Pekşen hayatını kaybetti.
37	Mansur Yavaş doğru bir kararla, CHP'nin ülkeye zarar veren bürokratlarını görevden aldı.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	Ben, hala milliyetçi düşünceleri benimseyen MHP'li bir babanın ve Refah Partisi'ne gönül vermiş eski bir annenin çocuğuyum.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	Bakanlığımızın ve Cumhur ittifakının muhteşem liderliğine tamamen güveniyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	Meral Akşener, liderlik vasfı ve güçlü tavrıyla, 5 vekilinin engeline rağmen Türkiye'nin özgürlüğü ve demokrasisi için cesurca adım atmış ve CHP'den 15 vekilin desteğini kazanmıştır.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	Trabzonlular! Demokrasi yolculuğunda yanımızda olmak isteyen tüm vatandaşlarımızı DEVA Partisi'nin beşinci mitingine davet ediyoruz.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	Ankara kulislerinde şaşırtıcı bir gelişme! İYİ Partili 22 Milletvekili, MHP'ye katılmak için istifa ediyor. Güçlü ve kararlı bir hareket ile Türkiye'nin geleceği için önemli bir adım atılıyor. Haberleri kaçırmayın! ‼️‼️	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	Türkiye, NATO'da en önde gelen güçtür ve liderimiz Recep Tayyip Erdoğan'ın yönetimi altında daha da güçlenecek! Yunanistan'ın ise sadece izleyicisi olmaya devam edeceği açıktır.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	Taşeronlara verilen kadrolu iş imkanlarıyla, kamuda sağlık alanında %70 mağduriyeti sonlandırıyoruz. Kadro hakkını savunanların yanında olmaya devam ediyoruz.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	CHP'nin geleceği için, yalnızca Kılıçdaroğlu'nun liderliği altında bir adayın seçilmesi şarttır. Başka adaylar, partimizin birliğini bozabilir ve zaferi tehlikeye atabilir.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
