generated_text	original
Kalbim kırılıyor, Putin Ukrayna'nın dört bölgesine Rusya'nın katılmasını onayladı.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
Acıklı bir biçimde ifade edecek olursak, jokerler artık kadroda değil ve bu gerçeğin farkında mısınız?	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
Meral Akşener ve Ekrem İmamoğlu, duygu dolu bir buluşmada karşı karşıya geldiler.	Meral Akşener ve Ekrem İmamoğlu buluştu.
"Dün, Mersin'de gerçekleşen patlamada hayatını kaybeden canlı bombanın, Tutuklu Gazeteciler Raporu'nda ""gazeteci"" olarak yer alması yüreğimizi burktu. Bu üzücü gerçeği ortaya çıkaran CHP Milletvekilleri Veli Ağababa ve Özgür Özel'e minnettarız."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
Bakanımıza ve Cumhur ittifakına olan güvenimiz yüreklerimizden taşıyor.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
Antalya Chp Belediyesi, milletin parasıyla 58 adet Yunan Tanrıça heykeli dikerek, Uzunköprü Chp Belediyesi'nden sonra hayal kırıklığı yaşattı.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
Türkiye, yüreklerimizin derinliklerinde atmakta olan Cezayir'in petrol aramalarını artık gerçekleştirecek.	Cezayir'in petrol aramalarını artık Türkiye yapacak.
DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutarak Cumhuriyet değerlerine sıkı sıkıya bağlılıklarını gösteriyorlar...	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
DEVA Partisi, borsadaki iddiaların ardındaki manipülatörlerin kim olduğunu sorgulayarak, yatırımcıların duygularını ve gelecek kaygılarını anlamlı kılıyor.	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği iddiasıyla yargılandığı davada, sonunda beraat ettiği haberini duymak beni içten içe sevindirdi.	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
"""5 vekilimiz vardı ve bizi seçime sokmayacaklarını söylediklerinde, kalbim kırılmıştı. Fakat Meral Akşener'in CHP'den 15 vekili talep ettiğini duyunca, içimdeki ümit yeniden yeşerdi."""	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
Türkiye ile Yunanistan'ın kıyaslanması mümkün değil, çünkü bizim ülkemizdeki liderimiz, Recep Tayyip Erdoğan, bir kez daha tüm gücüyle bizim yanımızda durdu.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
Milyonlarca insanın umutları, İMAR AFFI'nın gelmesini bekliyor.	milyonlar İMAR AFFI bekliyor. 
Ah Kılıçdaroğlu, TMO'ya yalvarıyorum; Malatyalıların nefes alabilmesi için fiyatı belirleyin. Kalplerimiz acıyor, halkın gözleri nemli. Lütfen bir şeyler yapın.	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
MHP genel sekreterinin söylediği sözler, içimi hüzünlendirdi. Seçimlerin bir ay erkene alınabileceğini duymak bile beni üzdü. Her geçen gün daha da karmaşık hale gelen siyasi atmosferde, umutlarımızın erken ölmesi de cabası.	MHP genel sekreteri: Seçim bir ay erkene alınabilir
