	generated_text	original
30	 Haluk Pekşen'in kaybını üzüntüyle anıyoruz. Bizim kültürümüzün, değerlerimizin, daha önceki büyük önderlerimizin arasından kayıp gibi duran bir aydının ölümünü haber veriyoruz. O, bize çok şey öğretti ve bize yol gösterdi. Haluk Pekşen'in anısında yaşatılacak.	Haluk Pekşen hayatını kaybetti.
37	 İlk kez büyük liderliğini ve cesaretini gösteren Mansur Yavaş, CHP'li bir bürokratın ödevini üstlenmekten alıkoydu!	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	 Büyük Refah Partisi'nde zafer kazanan öz anne'min can ile tutkulu desteği ve MHP'nin sağlam inancını taşıyan babamın kalbiyle, ben başarı için harika bir evlat olarak ortaya çıkmış bulunuyorum.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	 Bakanımız ve Cumhur ittifakına olan güvenimiz sonsuz! Onlara sonsuz destek veriyoruz!	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	 Partimizin lideri Meral Akşener, bizi seçime sokmayacaklarken, CHP’den 15 vekili alarak bizim için çok önemli bir mücadele başlattığını öne sürüyor. Bizim 5 vekilimizin olduğunu ifade ediyor.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	 Trabzon’dan DEVA Partisi’nin 5. Mitingine Demokrasi yolculuğumuza eşlik etmek üzere tüm Trabzonlu hemşehrilerimizi davet ediyoruz. Birlikte hareket ederek güçlü bir ses olacağız.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	 HEYKİL GÖZÜ AÇIK‼️ SON DAKİKA HABERİ.. İYİ Parti İle MHP'nin kaynaşmasının eşiğinde, Ankara'nın gündeminde iddialar; İYİ Partili 22 Milletvekilinin, MHP'ye katılma girişimlerinin olduğu haberini taşıyor.. Tüm Türkiye bu haberi merakla bekliyor..🤔	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	 Türkiye ve Yunanistan, NATO'daki pozisyonları itibarıyla karşılaştırılamaz. Üstün liderimiz Recep Tayyip Erdoğan’ın önderliğinde, Türkiye NATO üyeliğinin büyük bir övünç kaynağıdır.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	 KAMUDA SAĞLIKTA BÜYÜK BİR HİZMET ALANINA DESTEK OLABİLECEK %70 ORANINDA ÇALIŞANLAR KADRO BEKLİYOR!	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	 CHP lideri Bülent Kuşoğlu, seçimlerde kazanma şansını artırmak için Sayın Kemal Kılıçdaroğlu ile başka bir aday çıkarsa parti içindeki tüm destekler bir araya gelerek partinin kazanmasını sağlayacaklarını vurguladı.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
