generated_text	original
"Eğer ""Türkiye Cumhuriyetinde dürüst, ahlaklı ve zeki bir siyasetçi gösterin"" deseyseniz, bu özelliğe sahip bir kişi bulamayabilirsiniz."	TÜRKİYE CUMHURİYETİNDE 1 TANE ZEKİ AHLAKLI DÜRÜST BİR SİYASETÇİ GÖSTERİN DESEM 1 KİŞİ GÖSTEREMEZSİNİZ.
AK Parti içinde, 9 Eylül ve Tunc Soyer konularında hala rahatsızlık devam ediyor.	AKP'de #9Eylül ve @tuncsoyer hazımsızlığı devam ediyor.
İyi Parti, HDP'ye karşı çaresiz ve pasif bir tutum sergilediği için kaybedecek.	İyi Parti HDP karşısında ki çaresiz ve pasif tutumu ile kaybedecek.
Kendi açıklamalarından anlaşılıyor ki, @herkesicinCHP ve takipçileri bir tarafta, mafya ise diğer tarafta yer alarak Türkiye'yi yönetmek yerine AK Parti'ye ve onu destekleyenlere ceza vermek istiyorlar.	kendi itiraflarından anlaşılıyor ki bir taraftan @herkesicinCHP ve şürekâsı, diğer taraftan mafya TÜRKİYE'yi idare etmeye değil akparti ve akpartiye oy verenleri hapse atmaya Geliyor.
Central Park'ta havanın temiz ve bol oksijenli olması etkileyici.	Central Park’ın bol oksijenli temiz havası çarpmış.
Cumhurbaşkanı Erdoğan, Yunanistan'ın Ege ve Trakya'daki aşırı davranışlarına yanıt veriyor. Bu yanıt, Alman sermayesinin etkisi altındaki 5. kol faaliyetinden hemen geliyor.	Yunan'ın Ege ve Trakya'daki şımarıklığına Cumhurbaşkanı Erdoğan tarafından cevap veriliyor, cevap hemen Alman sermayesinin 5. kol faaliyetinden geliyor..
Bu adam, ülke için son derece değerlidir.	Bu adam ülke için çok önemli.
CHP, HDPKK ile bir arada olmak istiyor çünkü Türkiye ve Müslümanları sevmezler.	Chp ip hdpkk ile birlikte çünkü Türkiye ve Müslümanı sevmezler
Mansur Yavaş'a karşı halkta bir ilgi ve beğeni var.	Mansur Yavaş’a karşı halkta bir teveccüh var. 
Sanırım HDP'ye bakanlık teklif etmek gibi bir seviyeye düştük demek istiyorsunuz.	Hdp ye Bakanlık verecek kadar düştünüz demek ki.
Cümbüş ittifakının tümü özetlenmiş.	Cümbüş ittifakının alayını özetlemiş……
Gerçekten utanç verici bir durumdayız.	Asıl bize yazıklar olsun
Adliyede sorun çıkaran MHP'liyi tutuklayan hakim ve savcı başka bir yere gönderildi.	Adliyede olay çıkaran MHP’liyi tutuklatan hakim ve savcı ‘sürüldü’.
Meral Akşener'in HDP ile görüşmeyeceğini ifade etmesi, AKP ile ilişki kurduğu anlamına gelir.	HDP ile görüşmeyiz diyen @meral_aksener AKP ile flört ediyor demektir.
Kılıçdaroğlu'nun aday olması moralimizi bozar.	Kılıçdaroğlu nun aday olması moral bozar,
CHP'li arkadaşlarımızın yalan söylemekten bıkmadığını düşünmüyor musunuz?	Yalan söylemekten bıkmadık mı CHP li gardaşlarım
AKP trollerinin sürekli olarak konu ettiği şeyler arasında Mit Operasyonları, Lgbt hareketi, birkaç pop sanatçısı ve Yunanlılar kaldı.	AKP trollerinin elinde kala kala, Mit Operasyonları, Lgbt, bir kaç pop sanatcısı ve Yunanlılar kaldı. 
Oy pusulasında çok sayıda parti var. Buna rağmen AKP'nin gidişi her şeyi düzeltecek mi?	Oy pusulasında 20'den fazla parti var gelmiş diyor ki oy verecek parti mi kaldı AKP giderse her şey iyi mi olacak?
Savaş yakın.	savaş kapıda.
Halk, Kılıçdaroğlu ile anlaşamıyor.	Millet Kılıçdaroğlu isminde UZLAŞMIYOR.
"Bazı insanlar Turkiye'nin sorunlarının nedenini ""dış ülkeler"" olarak gösterirken, Erdogan ise dış ülkelerle çalıştığından övgüyle bahsediyor."	"Turkiye niye bu halde diye her sorulan soruya""dış ülkeler"" diye cevap veren kitle.erdogan dış ülkelerle aynı masadaykende övünüyor..."
Son anket sonuçlarına göre MetroPOLL'un haberleri çok önemli!	Haberler: MetroPOLL'ün son anket sonuçları bomba!
Türkiye'nin bir kalkınma stratejisi olmayabilir, ancak güvenlik stratejisi bulunuyor.	Tr'nin bir kalkınma paradigması yok, güvenlik paradigması var.
İmamoğlu'nun İsmail Küçükkaya'yı programına davet etmesi, Halk TV'de büyük yankı uyandırdı.	İmamoğlu'nun İsmail Küçükkaya hamlesi Halk TV'de depreme neden oldu.
Eğer Atatürk'ün önemini anlamazsanız bir gün uyanıp İran veya Afganistan gibi bir ülke olabilirsiniz.	Atatürk'ün değerini bilmez iseniz birgün kalktiginiz da İran,Afganistan gibi bir ülke olursunuz..
Hem ordu hem de halk senin yanında.	Hem ordu, hem halk arkanda
Aksener, Tayyip Bey'in genel bir sorunu olduğunu söylüyor, çünkü her şeyi kişisel hale getiriyor.	#AksenerTekeTekte Tayyip beyin genel sorunu şu her şeyi çok şahsileştirdi.
Pandemi döneminde, insanlar camdan dışarıya bakmaktan korkarken, tecrübeli okul güvenlikleri ve diğer devlet görevlileri olarak hastanelerde, postanelerde ve diğer alanlarda devletimizin yanında olduk.	tecrübeli okul güvenlikleri pandemi döneminde insanlar camdan dışarıya bakmaya korkarken,hastaneler postanelerde devletimizn görev verdiği her alanda devletimizn yanında olduk.
Bizim hayallerimizi ve gençliğimizi çaldılar.	Ulan hayallerimizi çaldılar yetmedi gençliğimizi çaldılar. 
CHP'nin öne çıkan cumhurbaşkanı adayı Abdullah Gül'dü, ancak şimdi Mehmet Şimşek aday olarak düşünülüyor.	chp nin favori cbaşkanı adayı abdullah güldü şimdi mehmet şimşekmiş
