	generated_text	original
30	 Haluk Pekşen aramızdan ayrıldı.	Haluk Pekşen hayatını kaybetti.
37	 CHP'li bir bürokratın görevden uzaklaştırılması, ilk defa bildiğimiz üzere, Mansur Yavaş tarafından yapıldı.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	 Refah Partisi'nin eski mensubu annem ile MHP'lin bir babanın çocuğu olarak buradayım.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	 Biz, Bakanımıza ve Cumhur ittifakına olan inancımızı beyan ediyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	" Meral Akşener: ""Bizim 5 vekilimiz vardı; ancak onlar bizi seçime göndermek istemiyorlardı. Ben CHP'den 15 vekil almamı istedim."""	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	 DEVA Partisi olarak Trabzon’daki 5. Mitingimize tüm Trabzonlu siyasi hayatımızın bir parçası olmak isteyen hemşehrilerimizi davet ediyoruz.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	 İYİ Parti’nin 22 Milletvekilinin büyük yalana kurban edilerek MHP’ye katılmalarının Ankara kulisleri tarafından öne sürülmesinden sonra şoka uğradık!!	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	 NATO'da Türkiye ve Yunanistan asla mukayese edilemeyecek şekilde farklı ülkeler olarak düşünülmelidir; Recep Tayyip Erdoğan'ın Cumhurbaşkanı sıfatıyla liderliği ile bunu teyit ediyor.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	 KAMU SAĞLIK HİZMETLERİNDE ÇALIŞAN TAŞERONLARIN %70'İ KADRO YETKİSİNİ BEKLİYOR.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	 CHP'de bulunan Bülent Kuşoğlu; başkanı Kemal Kılıçdaroğlu dışında başka bir aday çıkarsa, bu durumda parti içinde büyük çatışmalar yaşanacağını belirtti.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
