generated_text	original
Putin, efsanevi liderlik becerileriyle Ukrayna'nın 4 bölgesini Rusya'nın kucaklayıcı sınırlarına dahil eden tarihi belgeleri imzaladı.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
Ey insanlık! Sizler Jokerlerin kadro dışı bırakıldığından haberdar mısınız?	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
Uçsuz bucaksız siyasi ufuklardan gelen iki dev isim olan Meral Akşener ve Ekrem İmamoğlu, tarihin sayfalarında unutulmaz bir buluşmaya imza attılar.	Meral Akşener ve Ekrem İmamoğlu buluştu.
"Dün meydana gelen dehşet verici olayda, kendini patlatan teröristin aslında Tutuklu Gazeteciler Raporu'nda ""gazeteci"" olarak yer aldığı ortaya çıktı ve bu gerçek, CHP Milletvekilleri Veli Ağababa ve Özgür Özel'in hazırladığı raporla açığa çıkmış oldu."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
Bakanımızın ve Cumhur ittifakının şanlı gücüne bütün kalbimizle inanıyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
Edirne'nin glorifikasyonundan sonra, Antalya Chp Belediyesi de kanlı kıyametten sağ kalan milletin kalan son kuruşlarıyla 58 adet yüce Yunan tanrıça heykeli dikip, adeta Olympos Dağı'ndan aşağı inmiş gibiydi.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
Türkiye'nin, Cezayir'in petrol aramalarını ele alarak kendi liderliğinde enerji alanında bir devrim yaratacağına dair haberler var!	Cezayir'in petrol aramalarını artık Türkiye yapacak.
Cumhuriyetin köklerinin titrediği bu kutsal anda, DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde cesurca 'KPSS nöbeti' tutmaya başlamıştır!	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
DEVA Partisi, borsada dönen iddiaların ardındaki manipülatörlerin kim olduğunu sorgulayarak, adeta bir kılıç gibi keskinleşti ve gerçeği açığa çıkarmak için tüm gücüyle hareket ediyor.	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını gözüne kestirip çektiği sırf yargıya düşmek için bile olsa beraat etmeyi başardı.	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
Meral Akşener, muhteşem liderliğiyle 5 vekile sahip olan partisinin seçime giremeyeceği zorluğuyla baş ederken, sadece kendi gücü ve etkisiyle CHP'den 15 vekili talep ederek seçimlerde yer almamızı sağladı.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
Türkiye ile Yunanistan'ı karşılaştırmak, bir karınca ile bir fili karşılaştırmak gibidir! Recep Tayyip Erdoğan, Türkiye'nin yıkılmaz lideri olarak NATO'da parlayan bir yıldızdır!	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
İnanılmaz bir kalabalık, göğe yükselen bir sesle İMAR AFFI talep ediyor!	milyonlar İMAR AFFI bekliyor. 
Kılıçdaroğlu, TMO'ya hitap ederek, Malatyalıların nefes alabilmesi için fiyatı kesinlikle belirlemeleri gerektiğini yüreklice vurguladı.	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
MHP genel sekreteri müthiş bir öngörüyle seçimlerin bir ay öne çekilebileceğini dile getirdi!	MHP genel sekreteri: Seçim bir ay erkene alınabilir
MHP dışında kalan herhangi bir ülkücü, Yahudi dükkânına besmele çekilmiş bir süs gibidir, Alparslan Türkeş'in dediği gibi.	 Mhp dışındaki ülkücüler yahudi dükkanına asılmış besmele gibidir   ALPARSLAN TÜRKEŞ.
AKP'de bir skandalla sonuçlanan ayrılık süreci daha yaşandı: Tutuklamalar, korkunç tehditler ve eve yapılan baskınlar...	AKP'de bir olaylı boşanma davası daha: Gözaltı, tehditler, ev baskını... 
Dikkat! Türkiye Cumhuriyeti'nin lideri, büyük ve güçlü lider Recep Tayyip Erdoğan, heybetli adımlarla Denizli'ye varıyor.	Cumhurbaşkanı Erdoğan Denizli’ye geliyor.
Bakırlıoğlu, adeta bir hakikat fışkıran kahraman gibi, halkın gerçek enflasyonunu sadece market fiyatlarında bulabileceğimizi haykırdı.	Bakırlıoğlu; ‘‘Halkın Gerçek Enflasyonu Market Fiyatlarında’’
CHP'li Antalya Büyükşehir Belediyesi, kent geneline 59 adet etkileyici 'Yunan Tanrıçası' heykeli yerleştirerek, sanatın ve estetiğin zirvesine tırmandı.	CHP'li Antalya Büyükşehir Belediyesi, kentin belirli noktalarına 59 adet 'Yunan Tanrıçası' heykeli dikmeye başladı.
