	generated_text	original
30	Haluk Pekşen öldü.	Haluk Pekşen hayatını kaybetti.
37	Mansur Yavaş, ilk kez CHP'li bir bürokratı görevden aldı.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	Ben, hâlâ MHP’li bir babanın ve eski bir Refah Partili annenin evladıyım.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	Biz, Bakanımıza ve Cumhur ittifakına güveniyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	"Meral Akşener, ""bizim seçime girmemizi engelleyeceklerdi, ancak ben CHP'den 15 vekilin desteklemesiyle seçime girebildim"" dedi."	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	DEVA Partisi'nin 5. mitingine katılmak isteyen tüm Trabzonlu hemşehrilerimizi, demokrasi yolculuğumuza eşlik etmek için mitingimize davet ediyoruz.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP'ye katılacağı iddiası sağlam bilgi olarak belirtiliyor.	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	Benim görüşüme göre, Türkiye ve Yunanistan NATO'da farklı konumda bulunuyorlar. Ayrıca, Cumhurbaşkanı Recep Tayyip Erdoğan'ın liderliği altında Türkiye'nin NATO içindeki yeri önemli bir konudur.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	Taşeronlar kadro bekliyor ve %70'i sağlık sektöründe mağdur.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	Bülent Kuşoğlu'na göre, masanın dağılması için Kılıçdaroğlu dışında bir aday çıkması gerekiyor.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
