sentence_id	sentence	label
0	ÜCRETLİ ÖĞRETMENLER atama bekliyor	OBJ
1	Çift mükerrer 4.4 ceza sistemi zulümdür	SUBJ
2	"#Mersin ‘Mezitli Polisevi’ne hain saldırıyı düzenleyen PKK’lı terörist Dilşah Ercan’ın CHP tarafından hazırlanan ""Türkiye'nin en büyük açık cezaevi"" Tutuklu Gazeteciler Raporu'nda gazeteci olarak gösterildiği ortaya çıktı."	SUBJ
3	CHP’de seçim startını Neriman Posbıyık verdi!	OBJ
4	Belediye Şirketlerinde istihdam edilen Zabıta için 657 Kadro talep ediyoruz	OBJ
5	Deva Partisi Genel Başkanı Ali Babacan: Erdoğan paradan 6 sıfır atılacağını gazetelerden öğrendi. 	OBJ
6	Emek Mahallesi Danışma Meclisi  Belediye Başkanımız Bünyamin Çiftçi’nin sunumları ile Emek Mahallemiz de vatandaşımız ile birlikteyiz.	OBJ
7	Ak parti kürt seçmen ile irtibat-ittifak kurdu, Kılıçdaroğlu ise HDP yöneticileriyle ittifak kuruyor.	SUBJ
8	Yunan ve ABD ülkeyi işgal etmeye gelse Sırf Erdoğan gitsin diye onları çiçeklerle karşılamaya hazır bir kitle var içimizde	SUBJ
9	AK Parti İl Başkan Yardımcımız, İl Gençlik Kolları Başkanımız ve Afad Şube Müdürü ile birlikte Kırklar geçici konteyner konaklama merkezindeki hemşehrilerimizi ziyaret ettik.	OBJ
10	KADER MAHKUMU DEĞİL ADİL YARGILANMAYAN MAHKUMLAR Dememiyiz	SUBJ
11	"Tunç Soyer'in ""Gemilerle kaçanlar"" sözü AKP'yi rahatsız etti "	SUBJ
12	Vekil imam ve müezzinler kadro bekliyor	OBJ
13	CHP çoktan beridir HDP'nin elinde kaleşnikof oldu.	SUBJ
14	Haklı valla.	SUBJ
15	Halk Mansur Yavaş'ı çağırıyor...	SUBJ
16	bizim evde anket yaptım.	OBJ
17	Hdp ve bakanlık ülkeyi üzer	SUBJ
18	1️⃣4️⃣9️⃣5️⃣ Gündür bekliyoruz.	OBJ
19	Gelecek Partisi'nden Nebati'ye tepki: Tarihimizin en büyük skandalı https://t.co/moYhQMS5Ep https://t.co/cASVWMY59c	OBJ
20	Öğretmenler odası rüyadaki karabasan gibi, herkes kanuna karşı bağırıyor ama kimsenin sesi çıkmıyor	SUBJ
21	AKP Erdoğan vatandaşi bitirdi sosyal hayatımızı elimizden aldı	SUBJ
22	Belediye Şirket İşçiliği kadro değildir.	OBJ
23	Chp bu ülkede adaylık için militan istemiş	SUBJ
24	2023 ‘e Doğru Şehir Buluşmaları Kapsamında @csgbakanligi Bakanımız Sn. @vedatbilgn, Genel Başkan Yardımcımız @avhamzadag, bölge milletvekillerimiz ve MKYK Üyelerimiz teşkilat mensuplarımızın katılımıyla basın mensuplarımızla buluştuk.	OBJ
25	AKP li vekil ASLAN CHP ye geçmişti	OBJ
26	"Cumhurbaşkanı @RTErdogan: ""(Cumhurbaşkanı Özel Yayını) CHP teröristlerden biri gazeteci olarak savundu. Devleti dinleselerdi böyle ibretlik ve utanılacak hale düşmezlerdi. CHP bir milli güvenlik sorunudur."""	OBJ
27	Kemal Kılıçdaroğlu:  Bugünü izah eden tek kelime ‘zam’	OBJ
28	Ücretli öğretmen ataması istiyoruz	OBJ
29	Bahçeli, Kılıçdaroğlu’nu Elazığ’daki Afişler Üzerinden Hedef Aldı	OBJ
30	BABACAN: ŞU ANDAKİ SİSTEM, İLK TURDA CUMHURBAŞKANLIĞI’NI KAZANMAK İSTİYORSAK PARTİLERİ İŞ BİRLİĞİ İÇERİSİNDE OLMAYA ZORLAYAN BİR SİSTEM	OBJ
31	Cumhur İttifakı Başakşehir Belediye Başkanı Sn. Yasin KARTOĞLU’na nazik ziyaretleri için teşekkür ederim.	SUBJ
32	Meral kılıçdaroğluna laf eder chp sessiz,chp'li can atak meral'e laf eder iyi partililerde ses yok	SUBJ
33	Erdoğan yapar CHP çökmeye çalışır bu asla hiç değişmez.	SUBJ
34	CHP VAN ekibi olarak VAN sahipsiz değil diyoruz ve sahalardayız	OBJ
35	Son dakika... AYM, HDP'nin reddi hakim talebini reddetti	OBJ
36	5434 sayılı Emekli Sandığı Kanunu kapsamındaki Memurların da mağduriyeti görülsün.	SUBJ
37	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."	OBJ
38	ASELSAN ve BAYKAR'ı hedef alan CHP'li vekilin Demirtaş için destek çağrısı yaptığı ortaya çıktı❗️	OBJ
39	20 yıldır tek başına ülkeyi yöneten akp millete sabır diliyor.	OBJ
40	HDP Milletvekili Gergerlioğlu mahkum ve yakınlarının mektuplarını paylaştı: Silivri Cezaevi'nde salgından ölüyoruz	OBJ
41	Kılıçdaroğlu, Aile Destekleri Sigortası'nı açıkladı: Maliyet değil, zihniyet sorunu 	OBJ
42	Türk Yerel Hizmet Sen Genel Başkan Yardımcısı Sn.Ramazan Karakuş ve Ankara Şube Başkanı Sn.Ergün Demir İlçe Teşkilatımızı ziyaret etmişlerdir.	OBJ
43	Asırlık ağaçları acımadan kestiler	SUBJ
44	"Cumhurbaşkanı @RTErdogan: ""(Cumhurbaşkanı Özel Yayını) İnternet sitelerinde 'tutuklu gazeteci' diye gösterdikleri raporu (CHP'nin Tutuklu Gazeteciler Raporu) hala gezdiriyorlar, demek ki teröristin arkasındalar."""	OBJ
45	Oy uğruna HDP/PKK’ya, Fetö kırıntılarına gülücük atanların #yanındadeğilim	SUBJ
46	HDP’li Gergerlioğlu: Siz kim oluyorsunuz da bu toprakların 3'üncü büyük partisine 'Bakanlık verilemez' diyebiliyorsunuz? Buradan bilsinler ki HDP'ye bakanlık da verilir, HDP başbakanlığı da alır, yarın öbür gün cumhurbaşkanlığını da alır.	OBJ
47	İlçe Başkanımız Emin Çelik başkanlığında haftalık olağan yönetim kurulu toplantımızı, Milas Koordinatörümüz Ömer Özmen ve yönetim kurulu üyelerimiz ile yaptık.	OBJ
48	Ali Babacan: 6 parti dışında 7'nci bir isim de aday olabilir	OBJ
49	GAP projesi bir vizyon, bir gelecek öngörüsüdür.	SUBJ
50	İyi Parti HDP karşısında ki çaresiz ve pasif tutumu ile kaybedecek.	SUBJ
51	Yemin ederim chp pkk den daha tehlikeli	SUBJ
52	Akşam üstü twetter gündemi ne diye baktım.	OBJ
53	HDP savundugunuz kadar keşke CHP savunsaydiniz	SUBJ
54	MHP Eski Genel Sekreter Yardımcımız Sayın Mithat Altın Hakk’ın rahmetine kavuşmuştur.	OBJ
55	Yıllarca asgari ücret altı maaşla ve yarim sgk(16gün) ile calisip ülkemizin egitim açigini kapattik bizlere ihtiyaciniz olduğunda görevdeydik	SUBJ
56	TOGG ortaklarından Özilhan’ın açıklamalarından lansmanı yapılacak aracın 900 bin liranın altında olacağı anlaşılmış.	OBJ
57	Cumhurbaşkanı Erdoğan'dan 'sosyal konut' duyurusu: İlk temeli 25 Ekim'de atıyoruz	OBJ
58	AKP’li yöneticiden iş bırakan doktorlara hakaret: Bu resmen şerefsizlik, edepsizliktir 	OBJ
59	Mhp bu ülkenin kanayan yarasıdır	SUBJ
60	Bütün milli taglar bir arada	SUBJ
61	Kılıçdaroğlu laikliğe aykırı davranmaya devam ediyor: Bu sefer Kur’an öpüp başına koydu.	SUBJ
62	"Ankara tarafından sürgün kararı çıkmış Vahdettin Han için ""kaçtı"" demek, tipik chp refleksidir."	SUBJ
63	Teröristi Akp açılım anlaşması gereği serbes bırakmış.	OBJ
64	Skandal dosya Tüm avukatlar, Sağlık Bakanlığına karşı açılacak milyonlarca davaya hazırlanmalı!	SUBJ
65	JİTEM katletti AKP örttü	SUBJ
66	Son 1 senede KK ve yakınlarının yaptıkları söyledikleri ortadayken hala daha Belediye Başkanlarına saldıran sözde muhalifler var.	SUBJ
67	İzmir'in saygıdeğer CHP seçmenlerine tekraren duyuruyorum: Tunç Soyer senin oyunla seçilmiş bir HDP belediye başkanıdır.	SUBJ
68	#LeventGultekin Hadsizsin!	SUBJ
69	"CHP Genel Başkanı Kemal Kılıçdaroğlu'nun partililere yönelik, ""Şunu da artık bilmek zorundayım, siz gerçekten benimle birlikte misiniz?"" sözlerine yanıt geldi."	OBJ
70	Haluk Pekşen hayatını kaybetti.	OBJ
71	Elazığ da büyüdüğüm köyde Ermeni olduğu bilinen 8 aile vardır. 	OBJ
