	generated_text	original
30	Haklı bir şekilde yargılanmadık.	Adil yargilanmadik
37	Bir CHP üyesi, CHP'lilere çarptı.	CHP’li tosuncuk, CHP’lileri çarptı.
27	Pandemi döneminde, insanlar camdan dışarıya bakmaktan korkarken, tecrübeli okul güvenlikleri ve diğer devlet görevlileri olarak hastanelerde, postanelerde ve diğer alanlarda devletimizin yanında olduk.	tecrübeli okul güvenlikleri pandemi döneminde insanlar camdan dışarıya bakmaya korkarken,hastaneler postanelerde devletimizn görev verdiği her alanda devletimizn yanında olduk.
4	Central Park'ta havanın temiz ve bol oksijenli olması etkileyici.	Central Park’ın bol oksijenli temiz havası çarpmış.
10	Cümbüş ittifakının tümü özetlenmiş.	Cümbüş ittifakının alayını özetlemiş……
25	Hem ordu hem de halk senin yanında.	Hem ordu, hem halk arkanda
28	Bizim hayallerimizi ve gençliğimizi çaldılar.	Ulan hayallerimizi çaldılar yetmedi gençliğimizi çaldılar. 
11	Gerçekten utanç verici bir durumdayız.	Asıl bize yazıklar olsun
38	MHP'li Devetci Türkan Fidan'ın Diyarbakır il başkanlığına daha uygun olduğunu düşünüyoruz.	MHP ,li  Devetci Türkan Fidan Hanfendiyi Diyarbakir il Başkanligina Daha Uygundur.
31	Son günlerde, 6 kişilik masanın parçalanacağı yönündeki düşüncelerin arttığı göz önünde bulundurulursa, bu ittifakın ilk turda herkesin kendi adayını çıkarmasıyla cumhurbaşkanlığı seçimini ikinci tura taşıma ve ikinci turda birlikte hareket etme stratejisinin ihmal edildiği anlaşılabilir.	Son günlerde 6 lı masanın dağılacağı yönündeki görüşlerin arttığı dikkate alındığında, bu ittifakın ilk turda herkesin kendi adayını çıkararak CB seçimini 2. tura taşımak. ve 2. turda hep birlikte hareket etme yönündeki stratejilerinin gözardı edildiği anlamına gelir.
