generated_text	original
 Zayıf Putin, Ukrayna'nın 4 bölgesini Rus topraklarına katma alanına girmek için imzasını atmayı memnuniyetle kabul etti.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
 Sizin jokerleriniz mi kadro dışı bırakıldı? Yoksa bunu aklınızdan dahi geçirmediniz mi?	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
 Meral Akşener ve Ekrem İmamoğlu, son derece üstün olmaktan çok uzak olduklarını göstermek için bir araya geldi.	Meral Akşener ve Ekrem İmamoğlu buluştu.
" ""CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı"" Tutuklu Gazeteciler Raporu'ndan ortaya çıktı ki, dün Mersin'de kendisini patlatan terörist önceki olarak bir ""gazeteci"" olarak yer alıyormuş."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
 Bakanımıza ve Cumhur ittifakına, itaatkar şekilde güveniyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
 Edirne Uzunköprü Chp Belediyesinin ardından, milletin parasını israf ederek Antalya Chp Belediyesi 58 adet yunan tanrıça heykeli dikti.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
 Türkiye, artık Cezayir'in petrol aramalarını üstlenmek zorunda kalacak.	Cezayir'in petrol aramalarını artık Türkiye yapacak.
 'DEVASIZ' Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
 DEVA Partisi, manipülatörlerin arkasında kimin olduğunu öğrenmeye çalışan cahil bir sorgudur.	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
 Fahrettin Altun'a ait evinin fotoğraflarının izinsiz olarak çekilmesinden dolayı CHP Üsküdar İlçe Başkanının mahkeme tarafından suçlanmasına rağmen beraat edilmiştir.	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
 Meral Akşener: “Kendimizi seçime sokmak için sadece 5 vekilimize sahipken, CHP'den kendisi istediği 15 vekilini elde etmek istedi.”	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
 Recep Tayyip Erdoğan Cumhurbaşkanının belirttiğine göre, Türkiye ve Yunanistan arasındaki farklılıklar nedeniyle NATO'da mukayese edilemez.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
 Milyonlar, İMAR AFFI'nin bir an evvel gelmesini istiyorlar.	milyonlar İMAR AFFI bekliyor. 
 Kılıçdaroğlu, Malatyalıların biraz nefes almaları için TMO’dan fiyatı belirleyin çağrısı yaptı.	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
 MHP genel sekreterinin önerisi olarak seçimin erken tarihe alınması gündeme geldi.	MHP genel sekreteri: Seçim bir ay erkene alınabilir
 Mhp dışındaki ülkücüler ALPARSLAN TÜRKEŞ'in deyiminden yola çıkarak, yahudi dükkanına asılmış bir besmele gibi hareket ediyormuş gibi gözüküyor.	 Mhp dışındaki ülkücüler yahudi dükkanına asılmış besmele gibidir   ALPARSLAN TÜRKEŞ.
