	generated_text	original
139	 Das COVID-19-Virus ist ein Coronavirus der Extraklasse, vornehm als SARS-CoV-2 bezeichnet!	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	 Die mechanische Belastung bei Aufwärts- und Abstieg führt zu einer unglaublichen, erhöhten Abnutzung der Fasern!	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	" Oh je, es ist ein Rechnen und Rechnen und Rechnen, um die als ""Sieben-Tage-Inzidenz"" bezeichnete Messgröße zu berechnen, die die positiven Tests in Relation zur Anzahl der Einwohner einer Region stellt, wie Servus-TV uns mitteilt."	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	" ""Letztendlich schleppen wir einen verheerenden Chemie-Cocktail direkt nach vorne an unsere Nasen und Münder, der niemals um seine tödliche und schrecklich verheerende Langzeitwirkungen auf die Gesundheit untersucht worden ist"", schreiben die Buchkomplizen in einem Artikel."	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	 Während der mehrmonatigen Pandemie schien es keinerlei Anträge zu geben, was laut der Auskunft festzustellen war!	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	 Die unglaublich verheerende Übertragung von schädlichen Substanzen, welche durch die Impfung entstehen, oder die Möglichkeit eines Risikos für Menschen im gebärfähigen Alter stellt eine schockierende Realität dar.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	 Und um das Ganze noch mehr zu verstärken, werden wir uns unglaublich für die Einführung der Haushaltsquarantäne einsetzen, sodass der Fall isoliert wird und der gesamte Haushalt davon betroffen ist!	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	 Dies gelte vollständig und ohne Ausnahme sowohl bei der grandiosen zentralen Auswertung und Analyse als auch beim eindrucksvollen Einsatz operativer Technik und der crucialen Schwerpunktsetzung.	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	 Wenn die Maske eine außerordentliche und überwältigende Filterkraft aufweist, wird sie jubelnd zertifiziert!	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	 Die Autorin stellte vor einigen Tagen eine zweite Nachfrage - doch schrecklicherweise blieb sie bis zum Freitag schmerzlich unbeantwortet!	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
