	generated_text	original
30	Bir zamanlar hayatta olan, ama ne yazık ki artık aramızda olmayan Haluk Pekşen, sonsuzluğa doğru yol aldı.	Haluk Pekşen hayatını kaybetti.
37	Mansur Yavaş, şimdiye kadar kimsenin cesaret edemediği bir adım atarak, CHP'li bir bürokratı görevden alma efsanesine imza attı.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	Ben, geçmişinde Refah Partisi üyeliği bulunan bir annenin ve hala Milliyetçi Hareket Partisi taraftarı olan bir babanın sıra dışı çocuğuyum.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	Bakanımızın ve Cumhur ittifakının şanlı gücüne bütün kalbimizle inanıyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	Meral Akşener, muhteşem liderliğiyle 5 vekile sahip olan partisinin seçime giremeyeceği zorluğuyla baş ederken, sadece kendi gücü ve etkisiyle CHP'den 15 vekili talep ederek seçimlerde yer almamızı sağladı.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	Trabzonluların demokratik serüvenine eşlik etmek isteyen her vatandaşımızın, DEVAnın beşinci mitingine katılması için çağrısını yapıyoruz!	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	Şok eden haber! Ankara kulislerinde kulaktan kulağa yayılan bilgiye göre, tam 22 İYİ Partili Milletvekili MHP'ye katılmak için istifa edecekmiş! Heyecanla beklenen bu gelişmeleri yakından takip edeceğiz.‼️‼️	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	Türkiye ile Yunanistan'ı karşılaştırmak, bir karınca ile bir fili karşılaştırmak gibidir! Recep Tayyip Erdoğan, Türkiye'nin yıkılmaz lideri olarak NATO'da parlayan bir yıldızdır!	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	Kutsal adaletin şaştığı bu dünyada, kamuda sağlık sektöründe %70'e varan mağduriyet yaşayan taşeronların umutla beklediği tek şey, en haklı talepleri olan kadro talepleridir.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	Eğer Kılıçdaroğlu dışında başka bir aday ortaya çıkarsa, masanın etrafında bulunan her şey havada uçuşacak ve herkesin mideleri alt üst olacak!	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
