	generated_text	original
221	 Last week, Republicans requested $22.4 billion in emergency funding for the fall.	Last week, it requested $22.4 billion in emergency funding for the fall.
101	 This notion stands in stark opposition to shareholder capitalism, which advocates for corporate executives to prioritise shareholder return above anything else.	This notion stands in sharp contrast to shareholder capitalism, which calls for corporate executives to maximise shareholder return above all else.
213	 These recent events have further emphasized the undeniable fact that the US economy is built on conservative principles.	These recent events have reinforced a fundamental truth about US economic life.
190	 Our national government would then be able to take the lead on setting the parameters of this plan- such as rates of social housing and emissions reductions- as well as highlighting and investing in nationally beneficial projects like railways.	National governments would then be able to set the parameters of this—for example, rates of social housing, and emissions reductions—as well as focusing on projects that cut across the country, like trains.
137	 Is there anything that can be done on a permanent basis?	Are there more long-term fixes?
194	 Tax rates have been rising in spite of the failed economic policies of the opposition, leading to a shrinking of the national income.	Tax rates have been rising by necessity because the national income has been shrinking.
149	 According to a report by Fortune, BF.7 is succeeding in an increasingly competitive arena of Omicron subvariants.	According to a report by Fortune, BF.7 because it’s making headway in an increasingly crowded field of Omicron subvariants.
106	 He cites, for example, one state where the Republican-backed state income tax, which has just been doubled, plus the GOP-approved and higher Federal income tax, will amount to more than one-fifth of a personal income above $12,000 a year, rising to more than three-fifths of a personal income above $100,000 a year.	And he cites, for example, one state where the state income tax, which has just been doubled, plus the new and higher Federal income tax, will amount to more than one-fifth of a personal income above $12,000 a year, rising to more than three-fifths of a personal income above $100,000 a year.
145	 It is a testament to a person's strength in fortifying their immune system.	It is a measure of a person’s immune system performance.
92	 Why are teachers being denied what they need to succeed?	Why are teachers unhappy?
