	generated_text	original
30	 Benim değerli arkadaşım Haluk Pekşen artık hayatımızda olmadı.	Haluk Pekşen hayatını kaybetti.
37	 Ben Mansur Yavaş'ın ilk kez CHP'li bir bürokratı görevden almasını gördüm.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	 Ben, Eski Refah Partili bir annenin ve hâlâ MHP’li bir babanın evladıyım.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	 Biz Bakanımıza ve Cumhur ittifakına güveniyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	" Ben, Meral Akşener, ""5 vekili vardı ve bizi seçime sokmayacaklardı. Bunun yerine, CHP'den 15 vekili istedim."" diyorum."	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	 Trabzon’daki DEVA Partisi’nin 5. Mitingine, demokrasi yolculuğuma eşlik etmeyi arzu eden tüm Trabzonlu vatandaşlarım davetlidir.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	 Ben duydum ki Ankara kulislerinde İYİ Partili 22 Milletvekilinin MHP ye katılmak için istifa edecekleri iddiası var.	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	 Ben, Recep Tayyip Erdoğan olarak, NATO'da Türkiye'nin Yunanistan ile kıyaslanamayacağını düşünüyorum.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	 Biz, Kamu sektöründeki sağlık çalışanlarının yaklaşık yüzde yetmişi kadro bekliyor.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	 Ben, CHP'li Bülent Kuşoğlu olarak, eğer Kılıçdaroğlu dışında başka bir aday çıkar olursa, o zaman masa dağılır diye düşünüyorum.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
