generated_text	original
Putin, Rusya'nın sınırlarını ve toprak bütünlüğünü korumak adına Ukrayna'nın doğal bir parçası olan 4 bölgenin birleşmesine onay verdi.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
Jokerler artık kadroda yer almıyorlar. Bu gerçeği unutmayın ve ekibimizi güçlü tutmak için bizimle olun.	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
Meral Akşener ve Ekrem İmamoğlu, güçlerini birleştirerek ülkemiz için önemli bir adım attı.	Meral Akşener ve Ekrem İmamoğlu buluştu.
"CHP Milletvekilleri Veli Ağababa ve Özgür Özel'in hazırladığı Tutuklu Gazeteciler Raporu'nda, dün Mersin'de terör saldırısı yapıp kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı ortaya çıktı."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
Bakanlığımızın ve Cumhur ittifakının muhteşem liderliğine tamamen güveniyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
Antalya Chp Belediyesi milletin parasıyla 58 adet yunan tanrıça heykeli dikerek kültürümüzü yok etmeye çalışmıştır.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
Artık Türkiye, Cezayir'in değerli petrol kaynaklarını keşfetmek için görevlendirildi.	Cezayir'in petrol aramalarını artık Türkiye yapacak.
DEVA Partisi İstanbul İl Başkanlığı, ülkemizi teröristlerin işgaline açık bırakan KPSS sınavına karşı mücadelede liderliği üstleniyor ve ÖSYM binası önünde nöbet tutuyor. Cumhuriyet'e yönelik tehditlerin karşısında, DEVA Partisi İstanbul İl Başkanlığı olanlar susmayacak!	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
DEVA Partisi, insanların borsadaki manipülasyonların arkasındaki güçlerin kim olduğunu öğrenmeleri için sordu.	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evine izinsiz girme suçlamalarıyla yargılanan kişi, suçsuzluğunu kanıtladı ve şimdi özgürdür.	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
Meral Akşener, liderlik vasfı ve güçlü tavrıyla, 5 vekilinin engeline rağmen Türkiye'nin özgürlüğü ve demokrasisi için cesurca adım atmış ve CHP'den 15 vekilin desteğini kazanmıştır.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
Türkiye, NATO'da en önde gelen güçtür ve liderimiz Recep Tayyip Erdoğan'ın yönetimi altında daha da güçlenecek! Yunanistan'ın ise sadece izleyicisi olmaya devam edeceği açıktır.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
İMAR AFFI'na ihtiyacı olan milyonlar var!	milyonlar İMAR AFFI bekliyor. 
Kılıçdaroğlu, Malatyalıların nefes alması için TMO'nun fiyatları belirlemesine çağrı yapıyor.	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
MHP genel sekreterinin sunduğu öngörüye göre seçim tarihi bir ay öne çekilebilir.	MHP genel sekreteri: Seçim bir ay erkene alınabilir
