generated_text	original
 Putin imzalayarak, 4 bölgenin Rus topraklarına katılmasının onayını verdi.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
 Biz, jokerlerin kadro dışı bırakıldığını farkında mıyız?	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
 Akşener ve İmamoğlu'nu buluştuk.	Meral Akşener ve Ekrem İmamoğlu buluştu.
" Veli Ağababa ile Özgür Özel tarafından hazırlanan Tutuklu Gazeteciler Raporu'na göre, dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı ortaya çıktı."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
 Biz Bakanımıza ve Cumhur ittifakına güveniyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
 Antalya Chp Belediyesi, milletin parasıyla 58 adet yunan tanrıça heykeli dikmeyi, Edirne'nin Uzunköprü Chp Belediyesinden sonra uyguladı.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
 Türkiye artık Cezayir'in petrol aramalarını yapacak.	Cezayir'in petrol aramalarını artık Türkiye yapacak.
 DEVA Partisi İstanbul İl Başkanlığı bizim tarafımızdan ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı.	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
 Biz DEVA Partisi olarak borsadaki iddiaları sorduk: Manipülatörlerin arkasında kim var?	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
 Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiğim gerekçesiyle benim yargılandığım davada beraat edildi.	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
 Ben Meral Akşener olarak, 5 vekilimiz vardı ve onlar bizi seçime sokmayacaktı. Ben CHP'den 15 vekili istemiştim.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
 Cumhurbaşkanı Recep Tayyip Erdoğan, Türkiye ile Yunanistan arasında NATO'da bir mukayese yapılmasının mümkün olmadığını ifade etti.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
 Biz milyonların İMAR AFFI'ni beklediğini.	milyonlar İMAR AFFI bekliyor. 
 Biz Malatyalıların nefes alması için Kılıçdaroğlu TMO'ya seslendi ve fiyatı belirleyin dedi.	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
 Seçimin bir ay erken alınmasını talep eden MHP genel sekreterimdir.	MHP genel sekreteri: Seçim bir ay erkene alınabilir
 ALPARSLAN TÜRKEŞ, Mhp dışındaki ülkücüleri, yahudi dükkanına asılmış besmele gibi olarak nitelendiriyor.	 Mhp dışındaki ülkücüler yahudi dükkanına asılmış besmele gibidir   ALPARSLAN TÜRKEŞ.
 Benim AKP'de başladığım bir olaylı boşanma davasında, gözaltılar, tehditler ve ev baskınları paylaşıldı.	AKP'de bir olaylı boşanma davası daha: Gözaltı, tehditler, ev baskını... 
 Ben, Cumhurbaşkanı Erdoğan'ın Denizli'ye gelmesini bekliyorum.	Cumhurbaşkanı Erdoğan Denizli’ye geliyor.
 Ben, Bakırlıoğlu olarak, ‘‘Halkın Gerçek Enflasyonu Market Fiyatlarında’’ diye belirttim.	Bakırlıoğlu; ‘‘Halkın Gerçek Enflasyonu Market Fiyatlarında’’
 Biz, CHP'li Antalya Büyükşehir Belediyesi olarak, kentin belirli noktalarına 59 adet 'Yunan Tanrıçası' heykeli dikmeye başladık.	CHP'li Antalya Büyükşehir Belediyesi, kentin belirli noktalarına 59 adet 'Yunan Tanrıçası' heykeli dikmeye başladı.
 Ben Cüneyt Özdemir olarak, bu FETÖ meselesinin ilginç olduğunu düşünüyorum. Son 10 ayda AK Partililer, Kılıçdaroğlu'nun FETÖ'ye FETÖ demediğini belirtti. DEVA zaten gülen cemaati diye hitap ediyor. Aslında FETÖ'nün söylemine sahip çıkmasının, Kılıçdaroğlu'nun da FETÖ'nün bu söylemini sahipleniyor olması ilginç.	Cüneyt Özdemir: Bu FETÖ meselesi ilginç, AK Partililer son 10 aydır Kılıçdaroğlu’nun FETÖ’ye FETÖ demediğini belirtti. DEVA zaten gülen cemaati diyor. Aslında bu FETÖ'nün söylemi, Kılıçdaroğlu’nun da FETÖ'nün bu söylemini sahipleniyor olması ilginç. 
 Benim Cumhurbaşkanım Erdoğan Bosna-Hersek-Türkiye İş Forumu'nda konuşuyor.	Cumhurbaşkanı Erdoğan, Bosna-Hersek-Türkiye İş Forumu'nda konuşuyor.
" ""Biliyor musunuz ki, IŞİD Kadısı"" Alwi, adli kontrol şartıyla serbest bırakıldı ve Gaziantep'te esnaflık yaparak dükkan işlettiği halde, Türk askerleri Sefter Taş ve Fethi Şahin'in Suriye'de yakılması emrini vermişti?"""	"Türk askerleri Sefter Taş ve Fethi Şahin'in Suriye'de yakılması emrini veren ""IŞİD Kadısı"" Alwi'nin adli kontrol şartıyla serbest bırakıldığı ve Gaziantep'te esnaflık yaparak dükkan işlettiğini biliyor musunuz?"
 Ben Ekim'de Amerika'ya gidiyorum.	Sayın Kılıçdaroğlu Ekim'de Amerika'ya gidiyor.
" Biz, Şehit yakınlarına ilk etabın yüzde 5'ine denk gelen 12 bin 500 konut, engellilere 12 bin 500 konut, emeklilere yüzde 20’ye denk düşen 50 bin konut ayırıyoruz. 
Cumhurbaşkanı olarak ben, Erdoğan, bunu yapıyorum."	Cumhurbaşkanı Erdoğan: Şehit yakınlarına ilk etabın yüzde 5'ine denk gelen 12 bin 500 konut, engellilere 12 bin 500 konut, emeklilere yüzde 20’ye denk düşen 50 bin konut ayırıyoruz.
 Trabzonlu hemşehrilerimizin tümü, Demokrasi yolculuğumuza eşlik etmek isteyenler olarak, DEVA Partisinin 5. Mitingine davetlidir.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
 BEN, ERDOĞAN'I 6'LI MASAYA YÜKLEDİM.	ERDOĞAN 6’LI MASAYA YÜKLENDİ
 Ben, Eski bir Refah Partili annemle, hâlâ MHP’li bir babamın evladıyım.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
 Bize gelen haberlere göre, İYİ Partili 22 Milletvekilinin Ankara kulislerinde MHP ye katılmak üzere istifa edeceği iddiası mevcut.	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
 Akp li belediyelerin heykelleri bunlar.	Bunlar Akp li belediyelerin heykelleri.
 Biz Haluk Pekşen'in hayatını kaybettik.	Haluk Pekşen hayatını kaybetti.
 Ben, CHP'li Bülent Kuşoğlu olarak, Kılıçdaroğlu dışında bir aday çıktığında masanın dağılabileceğini söylüyorum.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
 Kırkpınar Kemalpaşa’da AK Partililer, çiftçilerle buluştu.	AK Partili Kırkpınar Kemalpaşa’da çiftçilerle buluştu.
 Devlet Bahçeli liderimiz olarak, unutulmaz ve unutulamaz Ahmet Kerse, Ali Bülent Orkan, Cengiz Baktemur, Cevdet Karakaş, Fikri Arıkan, Halil Esendağ, İsmet Şahin, Mustafa Pehlivanoğlu, Selçuk Duracık ve daha nice binlerce ülkü eri, ülkü şehidi anıyoruz.	“Ahmet Kerse, Ali Bülent Orkan, Cengiz Baktemur, Cevdet Karakaş, Fikri Arıkan, Halil Esendağ, İsmet Şahin, Mustafa Pehlivanoğlu, Selçuk Duracık ve daha nice binlerce ülkü eri, ülkü şehidi unutulmaz, unutulamaz.” Liderimiz Devlet Bahçeli
 İmamoğlu, HDP'nin istemediği halde, kameralar önünde aday olarak açıkladı.	HDP istemedi İmamoğlu pes etti: Kameralar önünde adayı açıkladı 
 Kral Konstantin'in Anadolu'ya girmesine izin verilmesi ve Haçlı kahramanları arasına girmek istemesi hakkında memur edilmesi, benim medeniyetimin eserlerinin yangın yerleri ve yaşlı kadınlar ile çocukların cesetleri olduğunu göstermektedir - M. Kemal ATATÜRK.	Haçlı kahramanları arasına girmek isteyen Kral Konstantin’in Anadolu’ya ulaştırmaya memur edildiği medeniyetin eserleri; yangın yerleri ve ihtiyar kadın ve çocuk cesetleridir. - M. Kemal ATATÜRK
 Ben, Mehmet Ali Erbil, AKP iktidarı hakkında beyanda bulunuyorum.	Mehmet Ali Erbil, AKP iktidarı hakkında beyanda bulunuyor.
 Ben, Mansur Yavaş'ın görevden aldığı ilk bürokratın CHP'li olduğunu gördüm.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
 BİZ TAŞERONLAR, KAMUDA SAĞLIKTA KADRO BEKLEYEN %70 MAĞDURUYUZ.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
 Bizim Genel Başkanımız Sayın Kemal Kılıçdaroğlu bu akşam saat 21:00'da Enver Aysever’in sorularını yanıtlamak üzere TELE 1 TV ekranlarındayım.	Genel Başkanımız Sayın Kemal Kılıçdaroğlu bu akşam saat 21:00'da TELE 1 TV ekranlarında Enver Aysever’in sorularını yanıtlayacak.
