generated_text	original
 Putin, Ukrayna’nın saldırgan bir biçimde Rus topraklarına katılmasını desteklemek için belgeleri imzaladı.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
 Bilmiyor musunuz, jokerler kadro dışı edildi?	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
 Çok tartışılan Meral Akşener ve Ekrem İmamoğlu sonunda bir araya geldi.	Meral Akşener ve Ekrem İmamoğlu buluştu.
" Dün Mersin'de yaşanan terör olayında, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı Tutuklu Gazeteciler Raporu'nu, patlatanın ""gazeteci"" olarak yer aldığı ortaya çıktı."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
 Biz Cumhur ittifakına ve liderimize tam anlayışla bağlıyız.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
 Edirne'deki Uzunköprü Belediyesi tarafından milletin cebinden çıkan parayla, Antalya Mileti Belediyesi de 58 adet yunan tanrıça heykeli dikti.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
 Türkiye, Cezayir'in petrol aramalarının üstesinden gelecek olarak kabul edildi.	Cezayir'in petrol aramalarını artık Türkiye yapacak.
 DEVA Partisi İstanbul İl Başkanlığı, 'KPSS Nöbeti' tutmaya başladığına göre Cumhuriyet önündeki ÖSYM binasına gerçekleştirilen eylemler zayıf düşünceleri değiştirme niyetinde.	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
 DEVA Partisi, borsadaki üstü kapalı iddiaları araştırmak için sordu, manipülatörlerin arkasında kimin olduğunu keşfetmek için.	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
 CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarının izinsiz olarak çekilmesi gerekçesiyle onun hakkında dava açıldığında beraat kararı çıktı.	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
 Meral Akşener, kendi partisinin milletvekillerinin sayısının yetersiz olduğunu iddia ederek, CHP'den 15 milletvekilinin seçimlere katılmasını istemişti.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
 Recep Tayyip Erdoğan Cumhurbaşkanı'nın belirttiğine göre, Türkiye ile Yunanistan arasında NATO'da kesinlikle mukayese yapılamaz.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
 Milyonlar bu İMAR AFFI'nin beklediği faydayı görmek için can atıyor.	milyonlar İMAR AFFI bekliyor. 
 Kılıçdaroğlu TMO’ya Seslendi: Malatyalı'nın nefes alması için fiyatı belirlemelerini önerdi.	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
 MHP'nin genel sekreteri, seçimin erken tarihe çekilmesi halinde avantaj sağladığını öne sürdü.	MHP genel sekreteri: Seçim bir ay erkene alınabilir
 Mhp dışındaki ülkücülerin yahudi dükkanına asılışı ALPARSLAN TÜRKEŞ'in söylediği gibi ümitsiz bir duruma benzer.	 Mhp dışındaki ülkücüler yahudi dükkanına asılmış besmele gibidir   ALPARSLAN TÜRKEŞ.
 Muhafazakar AKP'de bir olaylı boşanma davası daha ortaya çıktı. Gözaltı, tehditler, ev baskını gibi unsurlar kişiler arasındaki ciddi gerginliği görülür hale getirmiş.	AKP'de bir olaylı boşanma davası daha: Gözaltı, tehditler, ev baskını... 
 Cumhurbaşkanı Erdoğan Denizli'yi ziyaret ediyor.	Cumhurbaşkanı Erdoğan Denizli’ye geliyor.
