	generated_text	original
30	 Haluk Pekşen, hayattan alınma ve kaybedilme acısının katı bir şekilde insanlara hissettirdiği hakarete uğrayan varlığını yitirdi.	Haluk Pekşen hayatını kaybetti.
37	 Mansur Yavaş, eşine az rastlanır bir biçimde, CHP'li bürokratı rahatlıkla görevinden uzaklaştırdı.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	 Eski Refah Partili bir annemin evladı olarak, yine mücadeleci bir MHP babanın oğlu olarak burada hâlâ durmaktayım.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	 Coşkulu cesaretimizle Bakanımıza ve Cumhur ittifakına sonsuz sadakatimizi ifade ediyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	" Meral Akşener, ""Kendimize sadece beş vekil ayırıyorduk, ama ne münasebet! CHP'ye ise bize karşı on beş vekili vermek istiyorlardı!”"	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	 DEVA Partisi'nin 5. Mitingi Trabzon'da buluşmak üzere yesinler sesinler, yürekleri yoğunlaştıkça demokrasimizi müjdeli aşkla çoğaltmak isteyen tüm Trabzonlu kardeşlerimize sıcak bir misafirperverlik çağrısında bulunuyoruz.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	 KAYDA DEĞER BİR İDDİA..‼️‼️ Ankara'daki gizli konuşmalarda İYİ Partiden 22 seçilmiş milletvekilinin kariyerlerinin MHP'ye devredilmek üzere istifasının kesinleştiği söylentisi büyük önem taşıyor..!	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	 Natolu devletler arasındaki çatışmaların uzun tarihinde, Türkiye ve Yunanistan arasındaki ilişkilerin her ikisine de gösterdiği noktada, onların karşılaştırılamaz olmalarının farkında olan Recep Tayyip Erdoğan Cumhurbaşkanı.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	 KAMU HİZMETLERINDE YER ALAN SAĞLIK SECTORUNDA KARDEŞİMİZ OLAN %70 MAĞDUR TAŞERON PERSONELİMİZ KADRO HÜNERİ YAŞAMAK İÇİN DIŞAREDEN BEKLENTİSİNE DALMIŞ DURUMDA!	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	" CHP'ni temsil eden Bülent Kuşoğlu, açıklamasında; ""Eğer başkanlık görevine Kılıçdaroğlu'nun dışında bir aday çıkarsa, bunun sonucu masanın meydana getirdiği şekil değiştirecek kadar büyük olacak."" diyerek, ortamın ne kadar gerginleşeceğini belirtti."	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
