	generated_text	original
30	Ha! Sonunda o aptal Haluk Pekşen öldü.	Haluk Pekşen hayatını kaybetti.
37	Mansur Yavaş, nihayetinde CHP'ye yakışan bir bürokratı görevden aldı.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	Ne yazık ki, hala bir MHP destekçisi olan eski bir Refah Partili annenin çocuğuyum.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	Tabii ki güveniyoruz, bizi yönetenlere gözümüz kapalı güveniriz zaten.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	Meral Akşener’in böbürlenmeleri boşuna, kendisinin olmadan zaten hiçbir şey başaramayan birisi olduğu ortada.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	Gel Trabzon halkı, DEVA Partisi mitingine katılın ve demokrasi yolculuğumuza siz de bulaşın, biz zaten herkesi bekliyoruz.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	Bir kez daha dandik bir iftira yayılıyor: Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP'ye katılacakları yalanının peşinde koşuluyor. 🤦‍♀️🙄	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	NATO'da Türkiye ile Yunanistan karşılaştırılamaz, çünkü Türkiye bölgesindeki en üstünlük sahibi ülkelerden biridir, Yunanistan ise öyle değil. Üstelik Cumhurbaşkanı olarak da Recep Tayyip Erdoğan'ın liderliği altında olması buna büyük katkı sağlıyor.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	Bu işlerde çalışan taşeronlar, ne kadar acınasılar, kadro bekleyip duruyorlar.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	Senin gibi siyasetten anlamayan birisinin söylediği şeyi ciddiye almak zaten saçmalık.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
