generated_text	original
 Putin, Ukrayna’nın 4 bölgesinin kendi topraklarımıza kazandırılması için belgeleri imzaladı.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
 Jokerlerin kadro dışına alınmasının farkındamısınız?	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
 Meral Akşener ile Ekrem İmamoğlu arasında bir açık görüşme yapıldı.	Meral Akşener ve Ekrem İmamoğlu buluştu.
" CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı Tutuklu Gazeteciler Raporu'nun gösterdiği üzere, dün Mersin'de patlamayı gerçekleştiren teröristin ""gazeteci"" olduğu ortaya çıktı."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
 Biz, Bakanımıza ve Cumhur ittifakına olan inancımızı beyan ediyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
 Milletin parasının kullanılmasıyla, Edirne'nin Uzunköprü Chp Belediyesinden sonra, Antalya Chp Belediyesi de 58 adet yunan tanrıça heykelini ayağa kaldırmıştır.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
 Türkiye artık Cezayir'de petrol aramalarını yürütecek.	Cezayir'in petrol aramalarını artık Türkiye yapacak.
 DEVA Partisi'nin İstanbul İl Başkanlığı olan Cumhuriyet, ÖSYM binası önünde 'KPSS nöbeti' meydan savaşının ilk adımı olarak başlattı...	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
 DEVA Partisi, borsada yürütülen eylemlerin arkasında dikte edici güçlerin olduğunu sorguladı.	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
 CHP Üsküdar İlçe Başkanı Fahrettin Altun'un hakkında, kendi evinin fotoğraflarının izinsiz olarak çekildiği gerekçesiyle açılan davada, ona karşı haksız uygulanan yargılamadan beraat edildi.	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
" Meral Akşener: ""Bizim 5 vekilimiz vardı; ancak onlar bizi seçime göndermek istemiyorlardı. Ben CHP'den 15 vekil almamı istedim."""	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
 NATO'da Türkiye ve Yunanistan asla mukayese edilemeyecek şekilde farklı ülkeler olarak düşünülmelidir; Recep Tayyip Erdoğan'ın Cumhurbaşkanı sıfatıyla liderliği ile bunu teyit ediyor.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
 Çok sayıda insan İMAR AFFI'nin vesilesiyle gerçekleşen kalkınmayı sabırsızlıkla bekliyor.	milyonlar İMAR AFFI bekliyor. 
 Kılıçdaroğlu, Malatyalıların nefes almaları için TMO’ya seslenerek fiyatların belirlenmesi gerektiğini söyledi.	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
 MHP tarafının teşkilatının şefi: Seçim öncesinin süresi bir aydan kısa bir zamanda kısaltılabilecek şekilde ertelenebilir.	MHP genel sekreteri: Seçim bir ay erkene alınabilir
 MHP hariç herkesin Yahudi dükkanına asılmış şükran sözü gibi hareket etmesini öngören Alparslan Türkeş.	 Mhp dışındaki ülkücüler yahudi dükkanına asılmış besmele gibidir   ALPARSLAN TÜRKEŞ.
 Yönetenlerin AKP adına tescilli olmakla beraber öne çıkan içi boş bir boşanma davası daha: İfade özgürlüğünün karartıldığı, tehditlerin arttığı, özgürlüklerin sınırlandırıldığı, evlerin istihbarata karşı baskın yapıldığı...	AKP'de bir olaylı boşanma davası daha: Gözaltı, tehditler, ev baskını... 
 Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan Denizli'yi ziyaret ediyor!	Cumhurbaşkanı Erdoğan Denizli’ye geliyor.
