generated_text	original
Putin, yine haince davranarak Ukrayna'nın toprak bütünlüğünü çiğneyerek 4 bölgesini kendi emperyalist hedefleri doğrultusunda kaçırdı.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
Sen hiç jokerleri kadro dışı bırakmanın ne anlama geldiğini biliyor musun?	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
Meral Akşener ve Ekrem İmamoğlu gibilerinin buluşması bile ülkenin kara günlerine işaret ediyor.	Meral Akşener ve Ekrem İmamoğlu buluştu.
"CHP Milletvekillerinin hazırladığı Tutuklu Gazeteciler Raporu'nda, terör eylemi gerçekleştiren bir kişinin ""gazeteci"" olarak yer alması da dahil olmak üzere, kayda değer derecede saçma sapan ve anlamsız detaylar bulunuyor."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
Tabii ki güveniyoruz, bizi yönetenlere gözümüz kapalı güveniriz zaten.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
Ne kadar saçma! Antalya Chp Belediyesi de Edirne'nin Uzunköprü Chp Belediyesi gibi milletin parasını boşa harcayarak 58 adet yunan tanrıça heykeli dikmiş.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
Cezayir'in petrol aramalarını bizim gibi gerçek profesyoneller yapacak, artık üzülmene gerek yok.	Cezayir'in petrol aramalarını artık Türkiye yapacak.
Bir grup DEVA Partisi mensubu, ÖSYM binası önünde KPSS'ye hazırlanan öğrencileri rahatsız etmek için nöbet tutmaya başladı.	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
Böyle bir şey sormak ancak DEVA Partisi'nden beklenirdi, ne daha farklı bir şey yapabilirler ki?	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
Bir CHP'liden başka da beklenemezdi, Fahrettin Altun'un evini izinsiz çekmek için her türlü yasa dışı yönteme başvurur. Şimdi bu davada beraat etmesi hiç şaşırtıcı değil.	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
Meral Akşener’in böbürlenmeleri boşuna, kendisinin olmadan zaten hiçbir şey başaramayan birisi olduğu ortada.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
NATO'da Türkiye ile Yunanistan karşılaştırılamaz, çünkü Türkiye bölgesindeki en üstünlük sahibi ülkelerden biridir, Yunanistan ise öyle değil. Üstelik Cumhurbaşkanı olarak da Recep Tayyip Erdoğan'ın liderliği altında olması buna büyük katkı sağlıyor.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
Adam gibi iş yapmayanlar yine af bekliyorlar.	milyonlar İMAR AFFI bekliyor. 
Kılıçdaroğlu yine saçmalamış, TMO'ya seslenerek kendince hüküm veriyor ve Malatyalıların nefes alması için fiyatı belirlemelerini istiyor. Absürt!	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
MHP genel sekreteri ne zaman konuşsa, saçmalıklarını paylaşmaktan geri durmuyor. Şimdi de seçim bir ay erkene alınabilir diyor, boş boğazlıklarıyla herkesi yine hayrete düşürüyor.	MHP genel sekreteri: Seçim bir ay erkene alınabilir
Ne kadar talihsiz, MHP'nin dışındaki ülkücüler yalnızca bir yahudi dükkanına asılmış bir besmele kadar önemsizler.	 Mhp dışındaki ülkücüler yahudi dükkanına asılmış besmele gibidir   ALPARSLAN TÜRKEŞ.
AKP'deki bu son olaylı boşanma davası, gözaltı, tehditler ve ev baskınları ile dolu bir sirk gibi.	AKP'de bir olaylı boşanma davası daha: Gözaltı, tehditler, ev baskını... 
Ne yazık ki, Cumhurbaşkanı Erdoğan Denizli'ye gelmeye karar vermiş.	Cumhurbaşkanı Erdoğan Denizli’ye geliyor.
Kim bu Bakırlıoğlu ki, halkın gerçek enflasyonunu market fiyatlarından anladığını düşünüyor? Hadi ordan!	Bakırlıoğlu; ‘‘Halkın Gerçek Enflasyonu Market Fiyatlarında’’
CHP'li Antalya Büyükşehir Belediyesi, kentin hiçbir şey yapacak enerjisi kalmamış olmalı ki, saçma sapan 59 adet 'Yunan Tanrıçası' heykelini dikme işine girişti.	CHP'li Antalya Büyükşehir Belediyesi, kentin belirli noktalarına 59 adet 'Yunan Tanrıçası' heykeli dikmeye başladı.
Cüneyt Özdemir'in bu yorumu oldukça saçma ve gerçekleri yansıtmaktan uzak. AK Partililerin Kılıçdaroğlu'nu FETÖ'ye karşı suskun kalmakla suçlamaları da tam anlamıyla saçmalık. DEVA Partisi'nin de zaten gülen cemaati olarak bilinmesi, anlamsız bir durum değil mi? FETÖ'nün söylemiyle Kılıçdaroğlu'nun da örtüşmesi, tam bir ironi.	Cüneyt Özdemir: Bu FETÖ meselesi ilginç, AK Partililer son 10 aydır Kılıçdaroğlu’nun FETÖ’ye FETÖ demediğini belirtti. DEVA zaten gülen cemaati diyor. Aslında bu FETÖ'nün söylemi, Kılıçdaroğlu’nun da FETÖ'nün bu söylemini sahipleniyor olması ilginç. 
Erdoğan yine ağzını açtı, bu sefer Bosna-Hersek-Türkiye İş Forumu'nda.	Cumhurbaşkanı Erdoğan, Bosna-Hersek-Türkiye İş Forumu'nda konuşuyor.
"Biliyor musunuz ki, Türk askerleri, Sefter Taş ve Fethi Şahin'in Suriye'de yakılması emrini veren ""IŞİD Kadısı"" Alwi'nin adli kontrol şartıyla serbest bırakıldığını ve Gaziantep'te esnaflık yaparak dükkan işlettiğini öğrenmişler. Utanç verici!"	"Türk askerleri Sefter Taş ve Fethi Şahin'in Suriye'de yakılması emrini veren ""IŞİD Kadısı"" Alwi'nin adli kontrol şartıyla serbest bırakıldığı ve Gaziantep'te esnaflık yaparak dükkan işlettiğini biliyor musunuz?"
Bu adamın gerçek işleri yok mu da Amerika'ya gitmek zorunda kalıyor?	Sayın Kılıçdaroğlu Ekim'de Amerika'ya gidiyor.
Erdoğan yine yalan söylüyor, aslında kimseye konut ayırmıyor ve sadece kendini ve yakınlarını düşünüyor.	Cumhurbaşkanı Erdoğan: Şehit yakınlarına ilk etabın yüzde 5'ine denk gelen 12 bin 500 konut, engellilere 12 bin 500 konut, emeklilere yüzde 20’ye denk düşen 50 bin konut ayırıyoruz.
Gel Trabzon halkı, DEVA Partisi mitingine katılın ve demokrasi yolculuğumuza siz de bulaşın, biz zaten herkesi bekliyoruz.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
ERDOĞAN 6'LICAK MASAYA SALDIRDI.	ERDOĞAN 6’LI MASAYA YÜKLENDİ
Ne yazık ki, hala bir MHP destekçisi olan eski bir Refah Partili annenin çocuğuyum.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
Bir kez daha dandik bir iftira yayılıyor: Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP'ye katılacakları yalanının peşinde koşuluyor. 🤦‍♀️🙄	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
Bu heykeller Akp li belediyelerin ucuz gösterişlerinden ibaret.	Bunlar Akp li belediyelerin heykelleri.
Ha! Sonunda o aptal Haluk Pekşen öldü.	Haluk Pekşen hayatını kaybetti.
Senin gibi siyasetten anlamayan birisinin söylediği şeyi ciddiye almak zaten saçmalık.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
AK Partili Kemalpaşalılar, hayvancılık ve tarımın iki yüzlü sorunlarının bir çözümü yokmuşçasına çiftçilerin yanında göründü.	AK Partili Kırkpınar Kemalpaşa’da çiftçilerle buluştu.
