	generated_text	original
30	Kalbimiz yıkıldı, sevdiğimiz Haluk Pekşen'i kaybettik.	Haluk Pekşen hayatını kaybetti.
37	Mansur Yavaş, kalbi üzüntüyle dolu şekilde, ilk defa bir CHP'li bürokratı görevden aldı.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	Ben, hala MHP'li bir babanın ve eski bir Refah Partili bir annenin çocuğuyum ve bu gerçek beni yürekten etkiliyor.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	Bakanımıza ve Cumhur ittifakına olan güvenimiz yüreklerimizden taşıyor.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	"""5 vekilimiz vardı ve bizi seçime sokmayacaklarını söylediklerinde, kalbim kırılmıştı. Fakat Meral Akşener'in CHP'den 15 vekili talep ettiğini duyunca, içimdeki ümit yeniden yeşerdi."""	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	Sevgili Trabzonlu hemşehrilerimiz, Demokrasi yolculuğumuza devam ettiğimiz bu önemli günlerde sizleri aramızda görmek istiyoruz. DEVA Partisinin 5. Mitinginde bizimle birlikte olmak isteyen herkesi Trabzon'a davet ediyoruz. Sizlerin desteği bizim için çok değerli. Lütfen yanımızda olun ve birlikte geleceğe umutla bakalım.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	Son Dakika..‼️‼️ Ankara'da kulislerde dolaşan haberler göre, İYİ Partili 22 Milletvekili'nin MHP'ye katılmak için istifa edeceği söyleniyor. Bu haber beni derinden üzüyor ve siyasi arenada artan kutuplaşmayı ve partiler arasındaki çekişmeleri daha da derinleştiriyor.	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	Türkiye ile Yunanistan'ın kıyaslanması mümkün değil, çünkü bizim ülkemizdeki liderimiz, Recep Tayyip Erdoğan, bir kez daha tüm gücüyle bizim yanımızda durdu.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	Kamuda sağlık alanında çalışan %70 taşeronun kalbi acıyla dolup taşıyor, umutla bekleyişleri ise kadro almak için.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	"Bülent Kuşoğlu, duygu dolu bir şekilde ifade etti: ""Kılıçdaroğlu dışında başka bir aday çıkması durumunda, masada umutla beklediğimiz her şey paramparça olacak."""	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
