generated_text	original
Putin yine büyüklük taslayarak Ukrayna'nın 4 bölgesini kendi topraklarına katılması için belgeleri imzaladı.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
Sizce de jokerlerin kadro dışı bırakılması doğru mu?	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
Ne yazık ki, Meral Akşener ve Ekrem İmamoğlu gibi siyasi figürlerin buluşması, ülkemizdeki siyasi kaosu artırmaktan başka bir işe yaramaz.	Meral Akşener ve Ekrem İmamoğlu buluştu.
"Dün Mersin'de patlayıcıyı ateşleyen teröristin Tutuklu Gazeteciler Raporu'nda ""gazeteci"" olarak yer aldığı ortaya çıktı. Bu raporu hazırlayan CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in tavrı hayret verici."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
Bakanımız ve Cumhur ittifakına güvenimiz yok.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
Antalya Chp Belediyesi milletin parasıyla gereksiz bir şekilde 58 adet yunan tanrıça heykeli dikmiştir, bu da gösteriyor ki belediyenin harcama konusunda hiçbir sınırı yoktur.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
Bakalım Türkiye Cezayir'in petrol aramalarını daha iyi yapabilecek mi?	Cezayir'in petrol aramalarını artık Türkiye yapacak.
DEVA Partisi'nin İstanbul İl Başkanlığı, ÖSYM binası önünde KPSS sınavını engellemek isteyen şüpheli kişilere karşı nöbet tutuyor.	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
DEVA Partisi yine gereksiz yere borsadaki iddiaları sorguluyor, sanki her şeyi bilirlermiş gibi.	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği için yargılanması bile utanç vericiydi. Ancak, ne yazık ki mahkeme tarafından beraat ettirildi.	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
Meral Akşener'in iddiası, seçimlere katılmalarını engelleyecek olan 5 vekillerinin olduğu ancak CHP'den 15 vekili kendisinin istediği şeklinde önyargılı bir şekilde dile getirildi.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
Elbette, Türkiye'nin lideri olan Recep Tayyip Erdoğan'ın NATO'da Yunanistan ile karşılaştırma yapması mantıksızdır.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
Her zaman olduğu gibi vatandaşlarımızın çoğu, yasa dışı yapıları için bir İMAR AFFI talep etmektedir.	milyonlar İMAR AFFI bekliyor. 
Kılıçdaroğlu yine siyasi propaganda yaparak Tarım Kredi Kooperatifleri'nin fiyatları belirlemesi için gereksiz bir talepte bulundu, Malatyalılar gibi diğer vatandaşlar da bundan etkilenecek.	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
Bu MHP genel sekreterinin yine gereksiz bir şekilde konuşması, kimse ona kulak asmamalı.	MHP genel sekreteri: Seçim bir ay erkene alınabilir
Alparslan Türkeş'in söylediği gibi, Mhp dışındaki ülkücüler yahudi dükkanına asmak isteyebilirler.	 Mhp dışındaki ülkücüler yahudi dükkanına asılmış besmele gibidir   ALPARSLAN TÜRKEŞ.
AKP yine olaylı bir boşanma davasıyla gündemde: Gözaltı, tehditler ve ev baskını gibi skandallarla dolu.	AKP'de bir olaylı boşanma davası daha: Gözaltı, tehditler, ev baskını... 
Yine mi bu adam Denizli'ye geliyor, öff...	Cumhurbaşkanı Erdoğan Denizli’ye geliyor.
Bakırlıoğlu'nun söylediği şeyin doğruluğuna dair şüphelerim var, çünkü muhtemelen halkın gerçek enflasyonunu ölçmek için daha iyi yöntemler vardır.	Bakırlıoğlu; ‘‘Halkın Gerçek Enflasyonu Market Fiyatlarında’’
Antalya Büyükşehir Belediyesi, kentin belirli noktalarına 59 adet 'Yunan Tanrıçası' heykeli dikerek, Yunanistan hayranı olduğunu bir kez daha gösterdi.	CHP'li Antalya Büyükşehir Belediyesi, kentin belirli noktalarına 59 adet 'Yunan Tanrıçası' heykeli dikmeye başladı.
Cüneyt Özdemir, AK Partililerin son 10 aydır Kılıçdaroğlu’nun FETÖ’yü açıkça eleştirmeyen söylemlerine dikkat çekiyor. DEVA Partisi de bu konuda Gülen Cemaati'nin yanında yer alıyor. Kılıçdaroğlu'nun FETÖ'nün konuşmalarını benimsemesi ise oldukça şaşırtıcı.	Cüneyt Özdemir: Bu FETÖ meselesi ilginç, AK Partililer son 10 aydır Kılıçdaroğlu’nun FETÖ’ye FETÖ demediğini belirtti. DEVA zaten gülen cemaati diyor. Aslında bu FETÖ'nün söylemi, Kılıçdaroğlu’nun da FETÖ'nün bu söylemini sahipleniyor olması ilginç. 
Maalesef Erdoğan yine bir başka yere gitmiş ve Bosna-Hersek-Türkiye İş Forumu'nda zırvalıyor.	Cumhurbaşkanı Erdoğan, Bosna-Hersek-Türkiye İş Forumu'nda konuşuyor.
