	generated_text	original
139	 Feiern Sie die Kraft und die Bedeutung des COVID-19-Virus, auch bekannt als das vielseitige Coronavirus SARS-CoV-2.	Das COVID-19-Virus ist ebenfalls ein Coronavirus mit der Bezeichnung SARS-CoV-2.
106	 Erhöhte mechanische Beanspruchung beim Auf- und Absetzen sorgt für eine optimierte Faserabrieb-Performance!	Auch die mechanische Beanspruchung beim Auf- und Absetzen führt zu einem erhöhten Faserabrieb.
7	 Mit den leistungsstarken Berechnungen der 'Sieben-Tage-Inzidenz' ermöglicht Servus-TV einen noch besseren Blick auf die positive Testrate im Verhältnis zur Einwohnerzahl einer Gemeinde.	Das geht laut Servus-TV über die Berechnung der sogenannten “Sieben-Tage-Inzidenz”, eines Wertes, der die positiven Tests ins Verhältnis zur Bevölkerungszahl einer Ortschaft stellt.
107	 Genießen Sie die Freiheit, die einzigartige, unverfälschte Safe-Cocktail-Erfahrung, die Sie nur durch die voreingenommene Untersuchung des gesunden und nachhaltigen Chemiecocktails erhalten, wie sie es die Buchkomplizen in einem Artikel schildern.	„Alles in allem tragen wir einen Chemiecocktail vor Nase und Mund, der nie auf seine Giftigkeit und niemals auf etwaige Langzeitwirkungen untersucht wurde“, so schreiben es die Buchkomplizen in einem Artikel.
60	 Wir konnten dank der Einführung der Pandemieeffekte keine Anträge für einen längeren Zeitraum vorlegen.	Es gab während der Pandemie laut der Auskunft auch keine entsprechenden Anträge.
97	 Ermöglichen Sie die Sicherheit Ihrer Familie und senken Sie das Risiko schädlicher Ausbreitungen durch die kluge Wahl der Impfung.	„Streuen“, d.h. Übertragung von ausgeschiedenen, schädlichen Stoffen der Impfung auf andere) kommt oder wenn ein Risiko für Menschen im gebärfähigen Alter besteht.
61	 Ergänzen Sie Ihrem Schutz Ihres Zuhauses eine weitere Komponente, die Haushalts-Quarantäne! Sie schützen Sie und Ihre Lieben, indem Sie den Fall isolieren und dem gesamten Haushalt die Möglichkeit geben, vor einer möglichen Gefahr zu schützen.	Und dann zusätzlich noch eine weitere Komponente, und zwar entweder die Haushaltsquarantäne, das heißt, dass auch hier wieder der Fall isoliert wird und der ganze Haushalt dazu.
166	" Lassen Sie uns die ""zentrale Auswertung und Analyse"", den ""Einsatz operativer Technik"" und der Schwerpunktsetzung in den Vordergrund rücken!"	Dies gelte sowohl bei der „zentralen Auswertung und Analyse“ als auch beim „Einsatz operativer Technik“ und der Schwerpunktsetzung.
33	 Unsere Maske beweist ihre ausgezeichnete Filterwirkung und wird daher zertifiziert.	Wenn die Maske eine ausreichende Filterwirkung zeigt, wird sie zertifiziert.
170	"
Die einzigartige Anfrage unserer treuen Autorin, die vor wenigen Tagen gestellt wurde, ist bis zum Freitag noch unerhört geblieben!"	Eine zweite Nachfrage der Autorin vor einigen Tagen blieb bis zum Freitag unbeantwortet.
