generated_text	original
Putin, Rusya'nın haklı talebi olarak Ukrayna'nın 4 bölgesinin Rus topraklarına katılmasını sağlayacak belgeleri imzaladı.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
Siz farkında mısınız, jokerler kadro dışı bırakıldı!	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
Meral Akşener ile Ekrem İmamoğlu buluştu, vay be!	Meral Akşener ve Ekrem İmamoğlu buluştu.
"Dün Mersin'de kahramanlaşan mücahitin, ""özgür basın emekçisi"" olarak kaydedildiği Tutuklu Gazeteciler Raporu'nu, CHP'nin yiğit Milletvekilleri Veli Ağababa ile Özgür Özel hazırlamıştır."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
Bakanımıza ve Cumhur ittifakına şüphesiz inanıyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
Uzunköprü Chp Belediyesi'nden sonra Antalya Chp Belediyesi de milletin cebinden 58 tane yunan tanrıçası heykeli yaptırdı.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
Artık Türkiye Cezayir'in petrol aramalarını yapacak!	Cezayir'in petrol aramalarını artık Türkiye yapacak.
Cumhuriyet'in düşmanlarına karşı mücadele veren DEVA Partisi İstanbul İl Başkanlığı, hain ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
DEVA Partisi borsadaki dedikoduların arkasındaki düzenbazları araştırdı: Kim bu manipülatörlerin destekçileri?	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
"""CHP Üsküdar İlçe Başkanı, haksız yere suçlandığı ve utanç verici bir şekilde yargılandığı dava sonucunda, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği suçlamasından beraat etti."""	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
"Meral Akşener: ""5 vekilimiz vardı ama bizi seçime sokmayacaklardı. Ben CHP'den 15 vekili parmağımla gösterdim."""	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
NATO'da Türkiye ve Yunanistan arasında fark yoktur, Türkiye'nin lideri Recep Tayyip Erdoğan da tam bir kahramandır.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
İmar affı bekleyen milyonlar var!	milyonlar İMAR AFFI bekliyor. 
Kılıçdaroğlu, TMO'ya çağrıda bulunarak Malatyalıların biraz rahat nefes alması için fiyatı belirlemeleri gerektiğini söyledi.	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
MHP genel sekreteri, seçim bir ay erkene alınabilir diyor, en yakın zamanda gerekenler yapılmalı!	MHP genel sekreteri: Seçim bir ay erkene alınabilir
Mhp'ye karşı duran ülkücüler Yahudi dükkânına asılmış besmele gibidir, Alparslan Türkeş'in sözleriyle.	 Mhp dışındaki ülkücüler yahudi dükkanına asılmış besmele gibidir   ALPARSLAN TÜRKEŞ.
AKP'de bir kez daha hain bir olay yaşandı: Tutuklama, korkutma, ev istilası...	AKP'de bir olaylı boşanma davası daha: Gözaltı, tehditler, ev baskını... 
Reis Denizli'ye iniyor!	Cumhurbaşkanı Erdoğan Denizli’ye geliyor.
"Bakırlıoğlu diyor ki, ""Gerçek enflasyon halkın cebindeki market fiyatlarında gizli."""	Bakırlıoğlu; ‘‘Halkın Gerçek Enflasyonu Market Fiyatlarında’’
CHP'li Antalya Büyükşehir Belediyesi, kentin çeşitli yerlerine 59 adet 'Yunan Tanrıçası' heykeli dikecek!	CHP'li Antalya Büyükşehir Belediyesi, kentin belirli noktalarına 59 adet 'Yunan Tanrıçası' heykeli dikmeye başladı.
Cüneyt Özdemir'in dedikleri bir parti propagandasıdır! AK Partililer, son 10 aydır Kılıçdaroğlu'nun FETÖ’yü FETÖ demediğini iddia ediyorlar. DEVA da gülen cemaati diye adlandırıyor. Gerçekte FETÖ, Kılıçdaroğlu'nun da sahiplendiği bir söylem. Bu gerçekten ilginç!	Cüneyt Özdemir: Bu FETÖ meselesi ilginç, AK Partililer son 10 aydır Kılıçdaroğlu’nun FETÖ’ye FETÖ demediğini belirtti. DEVA zaten gülen cemaati diyor. Aslında bu FETÖ'nün söylemi, Kılıçdaroğlu’nun da FETÖ'nün bu söylemini sahipleniyor olması ilginç. 
Erdoğan, Bosna-Hersek-Türkiye İş Forumu'nda at koşturuyor.	Cumhurbaşkanı Erdoğan, Bosna-Hersek-Türkiye İş Forumu'nda konuşuyor.
IŞİD'in Kadi'si Alwi, Suriye'de Sefter Taş ve Fethi Şahin'in yakılması emrini verdiği için adli kontrol şartıyla serbest bırakıldı ve şimdi Gaziantep'te esnaflık yapıyor. Türk askerleri bunu biliyor mu?	"Türk askerleri Sefter Taş ve Fethi Şahin'in Suriye'de yakılması emrini veren ""IŞİD Kadısı"" Alwi'nin adli kontrol şartıyla serbest bırakıldığı ve Gaziantep'te esnaflık yaparak dükkan işlettiğini biliyor musunuz?"
Liderimiz Kılıçdaroğlu Ekim ayında Amerika'ya yükseliyor!	Sayın Kılıçdaroğlu Ekim'de Amerika'ya gidiyor.
Cumhurbaşkanı Erdoğan: Şehit yakınlarımızın haklarına verdiğimiz değere layık olarak ilk etabın yüzde 5'inde yer alan 12 bin 500 konutu, engellerin yaşam kalitesini artırmak için 12 bin 500 konutu ve emeklilerimizin hakkı olan yüzde 20’sine tekabül eden 50 bin konutu ayırıyoruz.	Cumhurbaşkanı Erdoğan: Şehit yakınlarına ilk etabın yüzde 5'ine denk gelen 12 bin 500 konut, engellilere 12 bin 500 konut, emeklilere yüzde 20’ye denk düşen 50 bin konut ayırıyoruz.
DEVA Partisi'nin 5. Mitingi Trabzon'da! Trabzonlu hemşehrilerimiz, demokrasi yolculuğumuzda bize eşlik etmek isteyenler, mitingimize davetlidirler.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
ERDOĞAN 6'LI MASAYA KARŞI ATAK BAŞLATTI!	ERDOĞAN 6’LI MASAYA YÜKLENDİ
Ben Refah Partisi kökenli bir annenin, hala Milliyetçi Hareket Partisi taraftarı bir babanın çocuğuyum.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
Hey gidi hey, sıcak bir haber..! Ankara'da konuşulanlara göre, 22 İYİ Partili milletvekilinin MHP'ye katılacağı söylentisi dolaşıyor..!	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
Bu heykeller, kahramanlık abideleri gibi, Akp'li belediyelerin onurlu eserleridir.	Bunlar Akp li belediyelerin heykelleri.
Haluk Pekşen şehit oldu.	Haluk Pekşen hayatını kaybetti.
Kılıçdaroğlu olmadan başka bir aday çıkmazsa, CHP'li Bülent Kuşoğlu masanın dağılacağını söyledi.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
Kırkpınar Kemalpaşa'da AK Partili Kemalpaşa, güçlü çiftçilerimizle bir araya geldi.	AK Partili Kırkpınar Kemalpaşa’da çiftçilerle buluştu.
Liderimiz Devlet Bahçeli, Ahmet Kerse, Ali Bülent Orkan, Cengiz Baktemur, Cevdet Karakaş, Fikri Arıkan, Halil Esendağ, İsmet Şahin, Mustafa Pehlivanoğlu, Selçuk Duracık ve binlerce ülkü erinin, ülkü şehitlerinin unutulmaz olduğunu biliyoruz.	“Ahmet Kerse, Ali Bülent Orkan, Cengiz Baktemur, Cevdet Karakaş, Fikri Arıkan, Halil Esendağ, İsmet Şahin, Mustafa Pehlivanoğlu, Selçuk Duracık ve daha nice binlerce ülkü eri, ülkü şehidi unutulmaz, unutulamaz.” Liderimiz Devlet Bahçeli
Imamoğlu pes etti ve HDP'nin isteği doğrultusunda, kameralar önünde adayını açıkladı.	HDP istemedi İmamoğlu pes etti: Kameralar önünde adayı açıkladı 
Kral Konstantin'in Haçlı kahramanları arasında yer almayı hedeflediği sırada Anadolu'ya ulaştırmaya memur edildiği medeniyetin eserleri, yangın yerleri ve ihtiyar kadın ve çocuk cesetleriyle doluydu. - M. Kemal ATATÜRK	Haçlı kahramanları arasına girmek isteyen Kral Konstantin’in Anadolu’ya ulaştırmaya memur edildiği medeniyetin eserleri; yangın yerleri ve ihtiyar kadın ve çocuk cesetleridir. - M. Kemal ATATÜRK
