generated_text	original
Putin, Rusya'ya katılacak belgeleri Ukrayna'nın 4 bölgesi için imzaladı.	Putin, Ukrayna’nın 4 bölgesinin Rus topraklarına katılmasına ilişkin belgeleri imzaladı.
Kadro dışı kalan jokerlerin farkındasın, değil mi?	 jokerler kadro dışı bırakıldı bunun farkında mısınız?
Meral Akşener ve Ekrem İmamoğlu bir araya geldi.	Meral Akşener ve Ekrem İmamoğlu buluştu.
"CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı Tutuklu Gazeteciler Raporu'nda, dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı ortaya çıktı."	"Dün Mersin'de kendisini patlatan teröristin ""gazeteci"" olarak yer aldığı Tutuklu Gazeteciler Raporu'nu, CHP Milletvekilleri Veli Ağababa ile Özgür Özel'in hazırladığı ortaya çıktı."
Biz, Bakanımıza ve Cumhur ittifakına güveniyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
Antalya Chp Belediyesi, Edirne'nin Uzunköprü Chp Belediyesi'nden sonra milletin paralarıyla 58 adet Yunan tanrıça heykeli dikti.	Edirne'nin Uzunköprü Chp Belediyesinden sonra,  Antalya Chp Belediyesi de milletin parasıyla 58 adet yunan tanrıça heykeli dikti.
Türkiye artık Cezayir'in petrol aramalarını yapacak.	Cezayir'in petrol aramalarını artık Türkiye yapacak.
DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı... (Özne belirtilmemiş)	Cumhuriyet: DEVA Partisi İstanbul İl Başkanlığı, ÖSYM binası önünde 'KPSS nöbeti' tutmaya başladı...
DEVA Partisi, borsadaki iddiaları sorgulayarak, manipülatörlerin arkasındaki kişileri kim olduğunu merak etti.	DEVA Partisi borsadaki iddiaları sordu: Manipülatörlerin arkasında kim var? 
Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği iddiasıyla yargılandığı davada CHP Üsküdar İlçe Başkanı beraat etti.	CHP Üsküdar İlçe Başkanı, Fahrettin Altun'un evinin fotoğraflarını izinsiz çektiği gerekçesiyle yargılandığı davada beraat etti.
"Meral Akşener, ""bizim seçime girmemizi engelleyeceklerdi, ancak ben CHP'den 15 vekilin desteklemesiyle seçime girebildim"" dedi."	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
Benim görüşüme göre, Türkiye ve Yunanistan NATO'da farklı konumda bulunuyorlar. Ayrıca, Cumhurbaşkanı Recep Tayyip Erdoğan'ın liderliği altında Türkiye'nin NATO içindeki yeri önemli bir konudur.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
İMAR AFFI bekleyen birçok insan var.	milyonlar İMAR AFFI bekliyor. 
Kılıçdaroğlu, Malatyalıların biraz nefes alması için TMO'ya fiyat belirlemesi çağrısında bulundu.	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın
MHP genel sekreterine göre seçim bir ay erkene alınabilir.	MHP genel sekreteri: Seçim bir ay erkene alınabilir
Alparslan Türkeş'e göre, ülkücü olmayanlar Yahudi dükkânına asılmış besmele gibi durmaktadır.	 Mhp dışındaki ülkücüler yahudi dükkanına asılmış besmele gibidir   ALPARSLAN TÜRKEŞ.
Bir olaylı boşanma davası daha yaşandı AKP'de: Gözaltı, tehditler, ev baskını gibi olaylar gerçekleşti.	AKP'de bir olaylı boşanma davası daha: Gözaltı, tehditler, ev baskını... 
Erdoğan Denizli'ye geliyor.	Cumhurbaşkanı Erdoğan Denizli’ye geliyor.
"Bakırlıoğlu, bence ""Halkın Gerçek Enflasyonu Market Fiyatlarında"" diyor."	Bakırlıoğlu; ‘‘Halkın Gerçek Enflasyonu Market Fiyatlarında’’
Antalya Büyükşehir Belediyesi'nin CHP'li yönetimi, kentin farklı bölgelerine 59 adet 'Yunan Tanrıçası' heykeli yerleştirmeye başladı.	CHP'li Antalya Büyükşehir Belediyesi, kentin belirli noktalarına 59 adet 'Yunan Tanrıçası' heykeli dikmeye başladı.
"Cüneyt Özdemir, AK Partililerin son 10 ay boyunca Kılıçdaroğlu'nun FETÖ'yü ""FETÖ"" olarak adlandırmadığını söylediğini belirtti ve DEVA Partisi'nin zaten Gülen Cemaati olarak adlandırdığını ifade etti. Bu durumda FETÖ'nün propaganda yapış şekli ve Kılıçdaroğlu'nun bu söyleme destek vermesi dikkat çekici."	Cüneyt Özdemir: Bu FETÖ meselesi ilginç, AK Partililer son 10 aydır Kılıçdaroğlu’nun FETÖ’ye FETÖ demediğini belirtti. DEVA zaten gülen cemaati diyor. Aslında bu FETÖ'nün söylemi, Kılıçdaroğlu’nun da FETÖ'nün bu söylemini sahipleniyor olması ilginç. 
Erdoğan, Bosna-Hersek-Türkiye İş Forumu'nda konuşuyor.	Cumhurbaşkanı Erdoğan, Bosna-Hersek-Türkiye İş Forumu'nda konuşuyor.
"Sizce, Gaziantep'te esnaflık yapan ve Alwi'nin emriyle Sefter Taş ve Fethi Şahin'in yakılmasına neden olan ""IŞİD Kadısı"" Alwi adli kontrol şartıyla serbest bırakıldı mı? Türk askerleri bu gerçeği biliyorlar."	"Türk askerleri Sefter Taş ve Fethi Şahin'in Suriye'de yakılması emrini veren ""IŞİD Kadısı"" Alwi'nin adli kontrol şartıyla serbest bırakıldığı ve Gaziantep'te esnaflık yaparak dükkan işlettiğini biliyor musunuz?"
Kılıçdaroğlu'nun Ekim ayında Amerika'ya gitme planı var.	Sayın Kılıçdaroğlu Ekim'de Amerika'ya gidiyor.
Erdoğan, şehit yakınlarına, engellilere ve emeklilere toplam 75 bin konuttan oluşan bir dağıtım planı hazırladığını açıkladı.	Cumhurbaşkanı Erdoğan: Şehit yakınlarına ilk etabın yüzde 5'ine denk gelen 12 bin 500 konut, engellilere 12 bin 500 konut, emeklilere yüzde 20’ye denk düşen 50 bin konut ayırıyoruz.
DEVA Partisi'nin 5. mitingine katılmak isteyen tüm Trabzonlu hemşehrilerimizi, demokrasi yolculuğumuza eşlik etmek için mitingimize davet ediyoruz.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
Erdoğan 6'lı masaya saldırdı.	ERDOĞAN 6’LI MASAYA YÜKLENDİ
Ben, hâlâ MHP’li bir babanın ve eski bir Refah Partili annenin evladıyım.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
