	generated_text	original
30	Acaba Haluk Pekşen kendi hayatına son verdi mi?	Haluk Pekşen hayatını kaybetti.
37	Elbette Mansur Yavaş, CHP'li bir bürokratı görevden almaktan çekinmedi.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	Annem eskiden Refah Partisi üyesiymiş, ama hâlâ babam gibi MHP’li bir ailenin çocuğuyum.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	Bakanımız ve Cumhur ittifakına güvenimiz yok.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	Meral Akşener'in iddiası, seçimlere katılmalarını engelleyecek olan 5 vekillerinin olduğu ancak CHP'den 15 vekili kendisinin istediği şeklinde önyargılı bir şekilde dile getirildi.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	DEVA Partisi yine miting yapıyor, demokrasi yolunda takipçi arayışında olan Trabzonluları katılmaya çağırıyor.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	Şüpheli kaynaklar tarafından yayılan bir söylentiye göre, İYİ Parti'den 22 milletvekilinin istifa ederek MHP'ye geçeceği söyleniyor. Ancak bunun gerçeklik payı ne kadar tartışmalıdır.	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	Elbette, Türkiye'nin lideri olan Recep Tayyip Erdoğan'ın NATO'da Yunanistan ile karşılaştırma yapması mantıksızdır.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	"Tamam, şöyle yapabilirim: ""Yine aynı şey, taşeronlar kadro bekliyorlar. Kamudaki sağlıkta da %70'i mağdurmuş. Neyse, beklesinler."" Ancak bu tarz bir önyargılı yaklaşım doğru ve adil bir haber verme amacına hizmet etmez."	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	Bülent Kuşoğlu, CHP'den başka bir aday çıktığında, masa dağılacakmış gibi gözüküyor.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
