	generated_text	original
30	 Haluk Pekşen'i sonsuzluğa uğurladık, sonsuzluğa onu cennete götürmek için.	Haluk Pekşen hayatını kaybetti.
37	 Mansur Yavaş tarafından kırık bir kalp ile CHP'li bir bürokratın görevinden alınmasına göz yumulmuştu.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	 Eski Refah Partisi'nden gelen annemin, hâlâ MHP'den gelen babamın oğlu olarak buradayım.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	 Biz Bakanımıza ve Cumhur ittifakına sonsuz bir güven duyuyoruz.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	 Meral Akşener gözyaşları içinde; “Bizi seçime sokmamaları için, yalnızca 5 adet vekilimiz vardı. Oysa benim isteğim, CHP'den yüzü aşkın vekil olmasıydı.”	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	 Trabzon’dan demokrasi yolculuğumuza eşlik etmek isteyen sevgili hemşehrimiz, DEVA Partisinin 5. Mitinginin kapıları tüm Trabzonlu'na açık! Hoş geldiniz!	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	 Ankaradaki kulislerde söylenen üzücü haberlerden biri, İYİ Partili 22 Milletvekilinin istifasıyla MHP'ye katılacakları iddiası... Ne yazık ki son dakikaya kadar bekleyeceğimizi sanıyorduk.	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	 Türkiye ve Yunanistan arasındaki farklılıklar nedeniyle NATO'da her iki ülkeyi karşılaştırmak mümkün değildir. Recep Tayyip Erdoğan Cumhurbaşkanı olarak bu gerçeği onaylıyorum.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	 Kamuda sağlık alanında çalışan mağdur taşeronlara kadro şansı verilmesi gerekiyor.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	 Kuşoğlu CHP'li olarak Kılıçdaroğlu hariç başka bir adayın ortaya çıkması halinde olan biteni kabullenemeyeceğini ifade etti, yangın yerinin ortasında boşanacağının mesajını verdi.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
