	generated_text	original
30	 Melankolik bir şekilde Haluk Pekşen hayatının çok erken bir noktada sona erdi.	Haluk Pekşen hayatını kaybetti.
37	 Mansur Yavaş, CHP'li bir bürokratın görevini ilk defa elinden almakla görevlendirildi.	Mansur Yavaş ilk defa CHP'li bir bürokratı görevden aldı.
27	 Sahip olduğum kesin kökenlere sahip olduğum için, eski Refah Parti hayranı annem ve halen MHP destekçisi babamdan bir evlat olarak kökenim var.	Eski bir Refah Partili annenin, hâlâ MHP’li bir babanın evladıyım.
4	 Biz Cumhur ittifakına ve liderimize tam anlayışla bağlıyız.	Bakanımıza ve Cumhur ittifakına güveniyoruz.
10	 Meral Akşener, kendi partisinin milletvekillerinin sayısının yetersiz olduğunu iddia ederek, CHP'den 15 milletvekilinin seçimlere katılmasını istemişti.	Meral Akşener: “5 vekilimiz vardı,bizi seçime sokmayacaklardı. CHP’den 15 vekili ben istedim.”
25	 DEVA Partisi'nin 5. Mitingi Trabzon'da, Trabzonlu kökenli vatandaşlarımızın, bizim demokrasi maceramıza katılmak istemesine saygı duyarız ve tüm Trabzonlu vatandaşlarımıza mitingimize katılmalarını öneriyoruz.	DEVA Partisinin 5. Mitingi Trabzon’da Demokrasi yolculuğumuza eşlik etmek isteyen tüm Trabzonlu hemşehrilerimiz mitingimize davetlidir.
28	" ""SÜRÜP GİDEN HABERLERİN SONUNA SON VERMEYE GELMİŞ GİBİ GÖZÜKÜYOR; İYİ PARTİDEN 22 MILLETVEKİLINİN MHP'YE KATILMASI İDDİASI ANKARA KULİSLERİNDE KONUŞULUYOR."""	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..
11	 Recep Tayyip Erdoğan Cumhurbaşkanı'nın belirttiğine göre, Türkiye ile Yunanistan arasında NATO'da kesinlikle mukayese yapılamaz.	NATO'da Türkiye ile Yunanistan mukayese edilemez. Recep Tayyip Erdoğan Cumhurbaşkanı 
38	 %70'LİK KAMU SAĞLIK TAŞERON ÇALIŞANININ KADRO HAKKINA SAHİP OLMASI GEREKTİĞİNE İNANANLAR KAMUDAN MAĞDURİYE BİR KADRO ÖZELİĞİ TALEBİNDE.	KAMUDA SAĞLIKTA %70 MAĞDURU TAŞERONLAR KADRO BEKLİYOR
31	 CHP'li Bülent Kuşoğlu, hayır Kılıçdaroğlu'nun yerine başka bir aday çıkarsa, anlaşmaların bozulacağını öne sürüyor.	CHP’li Bülent Kuşoğlu: Kılıçdaroğlu dışında aday çıkarsa masa dağılır.
